"Freq [GHz]","dB(St(2,1)) [] - g_pillar_position='27.4um'","dB(St(2,1)) [] - g_pillar_position='28.4um'","dB(St(2,1)) [] - g_pillar_position='42.4um'","dB(St(2,1)) [] - g_pillar_position='57.4um'","dB(St(2,1)) [] - g_pillar_position='72.4um'","dB(St(2,1)) [] - g_pillar_position='87.4um'","dB(St(2,1)) [] - g_pillar_position='102.4um'"
7.7,-0.0597230803187464,-0.0588608409169196,-0.0588808683276422,-0.0589492504093647,-0.0583691511020859,-0.0604476063367995,-0.0604410593464294
7.8,-0.0599951713769257,-0.0591508428062493,-0.0591409136212768,-0.0592095970991428,-0.0586245672503314,-0.060711081148596,-0.0607103034368892
7.9,-0.0602698123946642,-0.0594444135478943,-0.059403319242682,-0.0594722651528834,-0.0588831136989416,-0.0609767743762598,-0.0609818739113691
8,-0.060547016200548,-0.0597415184091889,-0.0596680987405276,-0.0597372693362889,-0.0591447830854995,-0.0612447082006453,-0.061255790219715
8.1,-0.0608267948324212,-0.0600421237202207,-0.0599352648366099,-0.0600046235419642,-0.0594095672099841,-0.0615149040213205,-0.0615320711629875
8.2,-0.0611091596012212,-0.0603461969512272,-0.0602048294929232,-0.0602743408554839,-0.0596774571097425,-0.0617873824740978,-0.0618107349106219
8.3,-0.0613941211487799,-0.0606537067623128,-0.060476803972443,-0.0605464336152447,-0.0599484431279367,-0.0620621634475031,-0.0620917990160031
8.4,-0.0616817023248908,-0.0609646395852262,-0.0607512108082442,-0.0608209252221812,-0.0602225300494807,-0.062339277569832,-0.0623752923605209
8.5,-0.0619719127132267,-0.061278966116041,-0.0610280601613083,-0.0610978268276817,-0.0604997068467414,-0.0626187435372422,-0.0626612315343994
8.6,-0.0622647484476736,-0.0615966419960841,-0.0613073496255138,-0.0613771371145463,-0.0607799469940254,-0.0629005676854876,-0.0629496204558071
8.7,-0.0625602179536558,-0.0619176407402884,-0.0615890881527212,-0.0616588659097477,-0.0610632386176204,-0.0631847670453195,-0.0632404743287071
8.8,-0.0628583292028163,-0.0622419370023506,-0.0618732842228086,-0.0619430225175399,-0.0613495694130572,-0.0634713579732112,-0.0635338078018663
8.9,-0.0631590897437214,-0.0625695065257909,-0.0621599458760848,-0.0622296157516895,-0.0616389266843137,-0.0637603561645099,-0.0638296349785214
9,-0.0634625067293331,-0.0629003260879834,-0.0624490807423429,-0.0625186539644474,-0.0619312973795285,-0.0640517766662586,-0.0641279694254534
9.1,-0.0637685869416271,-0.0632343734391001,-0.0627406960668444,-0.0628101450725156,-0.0622266681235529,-0.0643456338897403,-0.0644288241816141
9.2,-0.0640773368135131,-0.0635716272376575,-0.0630347987334542,-0.0631040965803121,-0.0625250252475215,-0.0646419416227417,-0.0647322117662837
