"Freq [GHz]","dB(St(1,1)) [] - g_pillar_position='27.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='28.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='42.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='57.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='72.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='87.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='102.4um' gpillar_r='5um'"
8,-31.3327034149305,-31.200714083269,-32.052834903088,-32.2592022319337,-32.6878710822256,-32.5625958631843,-32.0358085598812
8.1,-31.2329743191013,-31.0984817664241,-31.9529735472135,-32.1560813945672,-32.5802034157061,-32.4549819102701,-31.9306639138264
8.2,-31.1342688154305,-30.9975202166934,-31.8541336720273,-32.054086765194,-32.4737892848448,-32.3486595382522,-31.8267212956975
8.3,-31.036569101633,-30.8977884099925,-31.7562975516459,-31.9531964447943,-32.3686062858521,-32.2436002835253,-31.7239572445821
8.4,-30.9398625729486,-30.799252707615,-31.6594526459365,-31.853394374259,-32.2646381035329,-32.1397825359876,-31.6223544493654
8.5,-30.8441320440091,-30.7018750386519,-31.5635818419853,-31.7546596029309,-32.1618625717661,-32.0371792695863,-31.5218903028577
8.6,-30.7493561409718,-30.605613787835,-31.4686638445881,-31.6569667592638,-32.0602522084727,-31.9357586396625,-31.4225374174723
8.7,-30.6555187241697,-30.510434865501,-31.3746825808182,-31.560296334359,-31.9597857538877,-31.8354956551487,-31.3242746030701
8.8,-30.5626040313355,-30.4163058387133,-31.2816223529167,-31.4646293526376,-31.8604422543592,-31.7363660883465,-31.2270811866907
8.9,-30.4705966649294,-30.3231958850497,-31.1894678256764,-31.36994735059,-31.7622010696767,-31.6383464410825,-31.1309369960978
9,-30.3794815800769,-30.2310757394344,-31.0982040144326,-31.2762323566729,-31.6650418796059,-31.5414139130886,-31.0358223441789
9.1,-30.2892440730855,-30.1399176356018,-31.007816273629,-31.1834668722855,-31.5689446896179,-31.445546372408,-30.9417180141327
9.2,-30.1998697705061,-30.0496952436163,-30.9182902859276,-31.0916338537593,-31.4738898358131,-31.3507223276511,-30.8486052453793
9.3,-30.1113446187101,-29.9603836047067,-30.8296120518308,-31.0007166953005,-31.3798579890481,-31.2569209019416,-30.7564657201382
9.4,-30.0236548739509,-29.8719590645149,-30.7417678797876,-30.9106992128247,-31.2868301582849,-31.1641218084103,-30.6652815506254
9.5,-29.9367870928828,-29.7843992057086,-30.654744376756,-30.821565628631,-31.1947876931871,-31.0723053271091,-30.5750352668217
9.6,-29.8507281235107,-29.6976827807614,-30.5685284391952,-30.7333005568627,-31.1037122859902,-30.9814522832305,-30.4857098047731
9.7,-29.7654650965455,-29.6117896455742,-30.4831072444624,-30.6458889897066,-31.013585972681,-30.8915440265287,-30.3972884953857
9.8,-29.6809854171409,-29.5267006944899,-30.3984682425911,-30.5593162842833,-30.9243911335203,-30.8025624118505,-30.3097550536806
9.9,-29.59727675699,-29.4423977971442,-30.3145991484282,-30.4735681501891,-30.8361104929449,-30.7144897806912,-30.2230935684796
10,-29.5143270467595,-29.3588637375013,-30.2314879341099,-30.3886306376462,-30.7487271188891,-30.6273089437003,-30.137288492493
10.1,-29.432124468844,-29.276082155333,-30.1491228218546,-30.3044901262253,-30.6622244215617,-30.5410031640695,-30.052324632783
10.2,-29.3506574504195,-29.1940374903318,-30.0674922770573,-30.2211333141054,-30.5765861517181,-30.4555561417406,-29.9681871415826
10.3,-29.2699146567792,-29.1127149289804,-29.9865850016657,-30.138547207837,-30.4917963984651,-30.3709519983769,-29.8848615074434
10.4,-29.1898849849368,-29.0321003542454,-29.9063899278223,-30.0567191125801,-30.4078395866346,-30.287175263049,-29.8023335466977
10.5,-29.1105575574805,-28.9521802981232,-29.8268962117587,-29.9756366227858,-30.3247004737637,-30.2042108585884,-29.7205893952141
10.6,-29.0319217166646,-28.8729418970216,-29.7480932279253,-29.8952876132968,-30.2423641467148,-30.1220440885651,-29.6396155004289
10.7,-28.9539670187238,-28.7943728499327,-29.6699705633465,-29.8156602308409,-30.1608160179692,-30.0406606248551,-29.5593986136405
10.8,-28.8766832284002,-28.7164613793318,-29.5925180121851,-29.7367428858948,-30.0800418216275,-29.9600464957588,-29.47992578255
10.9,-28.8000666972355,-28.6392024253511,-29.5157319468238,-29.6585309871493,-30.0000349273745,-29.8801953542713,-29.4011913941603
11,-28.7241010223448,-28.5625787195454,-29.4395959989192,-29.5810064986998,-29.920774124921,-29.8010863788495,-29.3231757845307
11.1,-28.6487765684329,-28.4865798571829,-29.364100558688,-29.5041585834749,-29.8422460953223,-29.7227066097305,-29.2458668556988
11.2,-28.5740838885419,-28.4111958248993,-29.2892362034708,-29.4279766386502,-29.7644378227165,-29.6450434006227,-29.1692527782458
11.3,-28.5000137194828,-28.3364169737629,-29.2149936932004,-29.3524502890768,-29.6873365892781,-29.5680844091755,-29.0933219848972
11.4,-28.4265569774189,-28.2622339943889,-29.1413639660232,-29.2775693809682,-29.6109299700384,-29.4918175878414,-29.0180631643018
