"Freq [GHz]","lost_power_fraction [] - g_pillar_position='27.4um'","lost_power_fraction [] - g_pillar_position='28.4um'","lost_power_fraction [] - g_pillar_position='42.4um'","lost_power_fraction [] - g_pillar_position='57.4um'","lost_power_fraction [] - g_pillar_position='72.4um'","lost_power_fraction [] - g_pillar_position='87.4um'","lost_power_fraction [] - g_pillar_position='102.4um'"
22.8,0.0239004411442243,0.0241228675178532,0.0236481081696233,0.0236666848718113,0.0237966650757885,0.0243609211393342,0.0244105407086251
22.9,0.023989712992261,0.0242096639124221,0.0237349471532063,0.0237528939597965,0.0238821300614806,0.0244498153921853,0.0245032224288694
23,0.0240789337736897,0.0242964124638938,0.0238217149066707,0.0238390376987814,0.0239675689794682,0.0245386241210331,0.0245958884157293
23.1,0.024168096766815,0.0243831094990259,0.0239084049789205,0.0239251102114365,0.0240529782207543,0.0246273403885421,0.0246885316712212
23.2,0.0242571955330401,0.024469751589616,0.023995011321938,0.0240111059965405,0.0241383543091103,0.0247159577235389,0.0247811452734568
23.3,0.0243462240730925,0.0245563356340836,0.0240815284376015,0.02409702006218,0.0242236939837666,0.0248044702778968,0.0248737225461393
23.4,0.0244351761734238,0.024642858305594,0.0241679505351262,0.0241828471534039,0.0243089938599811,0.0248928718338141,0.0249662567424913
23.5,0.0245240456920526,0.0247293163039232,0.0242542719136985,0.0242685821026787,0.0243942505743487,0.0249811562586197,0.0250587411623453
23.6,0.0246128265619843,0.0248157063557851,0.0243404869656386,0.024354219832415,0.0244794607851117,0.0250693175079622,0.0251511691580483
23.7,0.024701512794568,0.0249020252151391,0.0244265901794597,0.0244397553574028,0.0245646211724534,0.0251573496289096,0.0252435341405529
23.8,0.0247900984827885,0.0249882696634989,0.0245125761428475,0.0245251837871443,0.0246497284387997,0.0252452467629474,0.0253358295857192
23.9,0.0248785778044915,0.0250744365102502,0.0245984395455238,0.0246105003280981,0.024734779309124,0.0253330031488619,0.0254280490408098
24,0.0249669450255246,0.0251605225929443,0.0246841751820105,0.0246957002858257,0.0248197705312288,0.0254206131255096,0.0255201861311951
24.1,0.0250551945028107,0.0252465247776049,0.0247697779542902,0.0247807790670253,0.0249046988760525,0.0255080711344617,0.0256122345672486
24.2,0.0251433206873309,0.0253324399590182,0.0248552428743397,0.0248657321814762,0.0249895611379562,0.0255953717225185,0.025704188151453
24.3,0.025231318127016,0.0254182650610349,0.0249405650665685,0.0249505552438707,0.0250743541350153,0.0256825095440873,0.02579604078568
24.4,0.0253191814695596,0.0255039970368493,0.0250257397701237,0.0250352439755357,0.0251590747093111,0.0257694793634194,0.0258877864786527
24.5,0.0254069054651252,0.0255896328692902,0.0251107623410742,0.0251197942060541,0.0252437197272129,0.025856276056692,0.0259794193535526
24.6,0.0254944849689615,0.025675169571106,0.0251956282544843,0.0252042018747633,0.0253282860796706,0.0259428946139377,0.026070933655758
24.7,0.0255819149439102,0.0257606041852388,0.0252803331063467,0.0252884630321593,0.0254127706824925,0.0260293301408022,0.0261623237606566
24.8,0.0256691904628184,0.0258459337851008,0.0253648726153948,0.0253725738411636,0.0254971704766314,0.0261155778601389,0.0262535841814885
24.9,0.0257563067108342,0.0259311554748474,0.0254492426247825,0.0254565305783067,0.0255814824284621,0.0262016331134132,0.0263447095771463
25,0.0258432589875957,0.0260162663896459,0.0255334391036345,0.0255403296347664,0.0256657035300635,0.0262874913619263,0.0264356947598435
25.1,0.0259300427093048,0.0261012636959367,0.0256174581484621,0.0256239675173147,0.025749830799491,0.0263731481878368,0.0265265347025437
25.2,0.0260166534106929,0.0261861445917006,0.025701295984444,0.025707440849137,0.0258338612810531,0.0264585992949763,0.0266172245460045
25.3,0.0261030867468587,0.0262709063067137,0.0257849489665703,0.0257907463705406,0.0259177920455869,0.0265438405094566,0.0267077596052573
25.4,0.0261893384949893,0.0263555461027989,0.0258684135806623,0.0258738809395467,0.0260016201907224,0.0266288677800369,0.026798135375349
25.5,0.0262754045559658,0.0264400612740853,0.0259516864442351,0.0259568415323669,0.0260853428411582,0.0267136771782631,0.0268883475360638
25.6,0.0263612790589725,0.0265244478735698,0.026034762365125,0.0260396234825044,0.0261689560593403,0.026798262689193,0.026978390272428
25.7,0.0264469599818768,0.0266087044842501,0.0261176401110361,0.0261222257134578,0.0262524580607744,0.0268826227699697,0.0270682612530764
25.8,0.0265324436086403,0.0266928284995764,0.0262003167022597,0.0262046455611005,0.0263358460537482,0.0269667538621564,0.027157956730992
25.9,0.0266177263521115,0.0267768173462789,0.0262827892929264,0.026286880480267,0.0264191172746828,0.0270506525279559,0.0272474731460685
26,0.0267028047549952,0.0268606684846092,0.0263650551712073,0.0263689280446537,0.0265022689883907,0.0271343154489226,0.027336807119388
26.1,0.0267876754906822,0.0269443794085634,0.0264471117593598,0.0264507859466279,0.0265852984883326,0.0272177394243458,0.0274259554440719
26.2,0.0268723353639663,0.0270279476461172,0.0265289566136583,0.0265324519969087,0.0266682030968776,0.0273009213692651,0.0275149150721489
26.3,0.0269567813116258,0.0271113707594496,0.0266105874241846,0.0266139241241619,0.0267509801655507,0.0273838583121068,0.0276036830969625
26.4,0.0270410104028749,0.02719464634516,0.0266920020144937,0.0266952003744674,0.0268336270752867,0.0274665473918871,0.0276922567306196
26.5,0.0271250198396924,0.0272777720344917,0.02677319834115,0.026776278910708,0.0269161412366819,0.0275489858549736,0.0277806332760861
26.6,0.0272088069570183,0.0273607454935463,0.0268541744931402,0.0268571580118429,0.0269985200902363,0.0276311710513374,0.0278688100936791
26.7,0.0272923692228274,0.0274435644234949,0.0269349286911642,0.0269378360720826,0.0270807611066048,0.0277131004302747,0.0279567845618633
26.8,0.0273757042380759,0.0275262265607863,0.0270154592867984,0.0270183115999788,0.027162861786835,0.0277947715355091,0.0280445540325592
26.9,0.0274588097365216,0.0276087296773556,0.0270957647615543,0.0270985832174114,0.027244819662616,0.0278761819996481,0.0281321157814641
27,0.0275416835844266,0.0276910715808247,0.0271758437258119,0.027178649658487,0.0273266322965085,0.0279573295378821,0.0282194669543361
27.1,0.0276243237801319,0.0277732501147032,0.0272556949176409,0.0272585097683539,0.0274082972821896,0.0280382119408709,0.0283066045106088
27.2,0.02770672845352,0.0278552631585844,0.0273353172015246,0.0273381625019251,0.0274898122446873,0.0281188270666771,0.0283935251662482
27.3,0.0277888958653473,0.0279371086283393,0.0274147095669615,0.0274176069225226,0.027571174840608,0.0281991728316609,0.0284802253382446
27.4,0.0278708244064811,0.0280187844763054,0.0274938711269804,0.027496842200443,0.0276523827583749,0.0282792472001625,0.0285667010936149
27.5,0.0279525125970001,0.028100288691478,0.0275728011165469,0.0275758676114492,0.0277334337184527,0.0283590481728035,0.0286529481061542
27.6,0.0280339590852029,0.0281816192996898,0.0276514988908795,0.0276546825351774,0.0278143254735784,0.0284385737732267,0.0287389616243814
27.7,0.0281151626464979,0.0282627743637956,0.0277299639236721,0.0277332864534918,0.0278950558089817,0.0285178220329747,0.0288247364541106
27.8,0.0281961221821886,0.02834375198385,0.0278081958052318,0.0278116789487536,0.0279756225426132,0.0285967909742674,0.0289102669587561
27.9,0.0282768367181643,0.0284245502972807,0.0278861942405329,0.0278898597020437,0.028056023525361,0.0286754785902743,0.028995547079886
28,0.0283573041947164,0.0285051665823909,0.0279639579015591,0.0279678274516232,0.0281362558081786,0.0287538814229055,0.0290805690876005
28.1,0.0284375238737627,0.0285855990266404,0.0280414867169823,0.0280455820699157,0.0282163172789328,0.0288319973035316,0.0291653261281477
28.2,0.0285174963546877,0.0286658467697613,0.0281187818716128,0.0281231245645258,0.0282962067126766,0.0289098253733141,0.0292498124744052
28.3,0.0285972211499031,0.0287459081014598,0.0281958435110112,0.0282004549949023,0.0283759220951925,0.0289873632395501,0.0293340210185669
28.4,0.0286766978883278,0.0288257813496536,0.0282726718844704,0.02827757350937,0.0284554614462804,0.0290646083236982,0.0294179446503983
