Freq.	S12(V1)
7.96496496496496e+09	(-5.83383730690297e-01dB,-1.67641232939886e+02°)
8.01401401401401e+09	(-5.83239487387249e-01dB,-1.68670473393954e+02°)
8.06306306306306e+09	(-5.83082152314323e-01dB,-1.69699761624666e+02°)
8.11211211211211e+09	(-5.82911890075497e-01dB,-1.70729100343640e+02°)
8.16116116116116e+09	(-5.82728877937782e-01dB,-1.71758492247214e+02°)
8.21021021021021e+09	(-5.82533305860733e-01dB,-1.72787940013886e+02°)
8.25925925925926e+09	(-5.82325376514485e-01dB,-1.73817446301734e+02°)
8.30830830830831e+09	(-5.82105305286012e-01dB,-1.74847013745797e+02°)
8.35735735735736e+09	(-5.81873320273333e-01dB,-1.75876644955432e+02°)
8.40640640640641e+09	(-5.81629662267417e-01dB,-1.76906342511661e+02°)
8.45545545545546e+09	(-5.81374584721714e-01dB,-1.77936108964478e+02°)
8.50450450450450e+09	(-5.81108353708844e-01dB,-1.78965946830156e+02°)
8.55355355355355e+09	(-5.80831247864381e-01dB,-1.79995858588528e+02°)
8.60260260260260e+09	(-5.80543558317454e-01dB,1.78974153319741e+02°)
8.65165165165165e+09	(-5.80245588608155e-01dB,1.77944086495896e+02°)
8.70070070070070e+09	(-5.79937654591172e-01dB,1.76913938585836e+02°)
8.74974974974975e+09	(-5.79620084325976e-01dB,1.75883707282867e+02°)
8.79879879879880e+09	(-5.79293217952943e-01dB,1.74853390330457e+02°)
8.84784784784785e+09	(-5.78957407555611e-01dB,1.73822985524987e+02°)
8.89689689689690e+09	(-5.78613017008711e-01dB,1.72792490718497e+02°)
8.94594594594595e+09	(-5.78260421811973e-01dB,1.71761903821439e+02°)
8.99499499499500e+09	(-5.77900008909505e-01dB,1.70731222805394e+02°)
9.04404404404404e+09	(-5.77532176494791e-01dB,1.69700445705802e+02°)
9.09309309309309e+09	(-5.77157333801007e-01dB,1.68669570624659e+02°)
9.14214214214214e+09	(-5.76775900876922e-01dB,1.67638595733201e+02°)
9.19119119119119e+09	(-5.76388308347948e-01dB,1.66607519274562e+02°)
9.24024024024024e+09	(-5.75994997162578e-01dB,1.65576339566410e+02°)
9.28928928928929e+09	(-5.75596418324205e-01dB,1.64545055003545e+02°)
9.33833833833834e+09	(-5.75193032608057e-01dB,1.63513664060474e+02°)
9.38738738738739e+09	(-5.74785310263673e-01dB,1.62482165293943e+02°)
9.43643643643644e+09	(-5.74373730702613e-01dB,1.61450557345425e+02°)
9.48548548548549e+09	(-5.73958782171572e-01dB,1.60418838943575e+02°)
9.53453453453453e+09	(-5.73540961411088e-01dB,1.59387008906628e+02°)
9.58358358358358e+09	(-5.73120773299781e-01dB,1.58355066144746e+02°)
9.63263263263263e+09	(-5.72698730484367e-01dB,1.57323009662323e+02°)
9.68168168168168e+09	(-5.72275352995504e-01dB,1.56290838560211e+02°)
9.73073073073073e+09	(-5.71851167849572e-01dB,1.55258552037903e+02°)
