"S21 Log Mag"
"Freq (Hz)","dB",
5592500000, 2.860073e-02,
5620000000, 2.868508e-02,
5647500000, 2.779729e-02,
5675000000, 2.851844e-02,
5702500000, 2.885583e-02,
5730000000, 2.784307e-02,
5757500000, 2.741557e-02,
5785000000, 2.797476e-02,
5812500000, 2.802980e-02,
5840000000, 2.889080e-02,
5867500000, 2.821960e-02,
5895000000, 2.774996e-02,
5922500000, 2.879308e-02,
5950000000, 2.889131e-02,
5977500000, 2.864702e-02,
6005000000, 2.701633e-02,
6032500000, 2.830036e-02,
6060000000, 2.819851e-02,
6087500000, 2.755499e-02,
6115000000, 2.805706e-02,
6142500000, 2.762290e-02,
6170000000, 2.604483e-02,
6197500000, 2.777671e-02,
6225000000, 2.688513e-02,
6252500000, 2.579780e-02,
6280000000, 2.751744e-02,
6307500000, 2.755653e-02,
6335000000, 2.772733e-02,
6362500000, 2.877714e-02,
6390000000, 2.841043e-02,
6417500000, 2.649099e-02,
6445000000, 2.494443e-02,
6472500000, 2.870102e-02,
6500000000, 2.732657e-02,
6527500000, 2.517760e-02,
6555000000, 2.708528e-02,
6582500000, 2.502730e-02,
6610000000, 2.493362e-02,
6637500000, 2.713312e-02,
6665000000, 2.644262e-02,
6692500000, 2.675032e-02,
6720000000, 2.848604e-02,
6747500000, 2.925284e-02,
6775000000, 2.724580e-02,
