"Freq [GHz]","lost_power_fraction [] - dielectric_overlap='1um' pillar_h='10um'","lost_power_fraction [] - dielectric_overlap='1um' pillar_h='50um'","lost_power_fraction [] - dielectric_overlap='200um' pillar_h='50um'","lost_power_fraction [] - dielectric_overlap='205um' pillar_h='50um'"
15.5,0.0345691596201493,0.0350526573216981,0.0350236212315082,0.034830081303038
15.6,0.0347139803140263,0.0352042622439074,0.0351784900538621,0.034982065155876
15.7,0.0348593083650611,0.0353565628195323,0.0353340830894775,0.0351347979107872
15.8,0.0350051360027321,0.0355095561519048,0.0354903961934299,0.0352882914492221
15.9,0.0351514454008453,0.0356632256165901,0.0356474109029886,0.0354425432283176
16,0.0352982233294882,0.0358175611373887,0.0358051155261411,0.0355975583611727
16.1,0.0354454561557557,0.0359725523701169,0.0359634980472981,0.0357533422385809
16.2,0.0355931298128944,0.0361281887042443,0.0361225461306144,0.0359099004859683
16.3,0.0357412297669231,0.0362844592647257,0.0362822471236397,0.0360672389116155
16.4,0.0358897409805994,0.0364413529140223,0.036442588061334,0.0362253634452689
16.5,0.036038647874676,0.0365988582543471,0.036603555670393,0.0363842800662653
16.6,0.036187934286376,0.0367569636300924,0.0367651363739448,0.0365439947203261
16.7,0.0363375834250775,0.0369156571304971,0.0369273162965672,0.0367045132241855
16.8,0.0364875778252698,0.0370749265925062,0.0370900812696536,0.0368658411572813
16.9,0.0366378992969034,0.0372347596038706,0.0372534168371207,0.0370279837398196
17,0.0367885288733626,0.0373951435064565,0.037417308261441,0.0371909456966883
17.1,0.0369394467574413,0.0375560653997914,0.037581740530026,0.0373547311068088
17.2,0.0370906322658467,0.0377175121448356,0.037746698361928,0.0375193432377839
17.3,0.0372420637729724,0.037879470367988,0.0379121662148836,0.0376847843659584
17.4,0.0373937186549639,0.038041926465331,0.0380781282926744,0.0378510555823117
17.5,0.0375455732353943,0.0382048666071146,0.0382445685528088,0.0380181565850334
17.6,0.0376976027342863,0.0383682767424754,0.0384114707145364,0.0381860854600389
17.7,0.0378497812226698,0.0385321426044069,0.0385788182671579,0.0383548384512227
17.8,0.0380020815854697,0.0386964497149722,0.0387465944786572,0.0385244097227733
17.9,0.0381544754961346,0.0388611833907594,0.0389147824046338,0.0386947911164996
18,0.0383069334072523,0.0390263287485924,0.0390833648975336,0.0388659719077409
18.1,0.0384594245622601,0.0391918707114813,0.0392523246161646,0.0390379385640927
18.2,0.0386119168792599,0.0393577958084895,0.0394216457120447,0.0392106781866494
18.3,0.0387643768440935,0.039524088368584,0.0395913102287967,0.0393841706041736
18.4,0.0389167704248525,0.0396907308988683,0.0397612985382744,0.0395583886453261
18.5,0.0390690627896818,0.0398577076071463,0.0399315926216124,0.0397333052647354
18.6,0.0392212185382535,0.0400250025412047,0.040102174318469,0.0399088896308939
18.7,0.0393732020125739,0.0401925995962705,0.0402730253381591,0.0400851070239165
18.8,0.0395249776958205,0.0403604825227176,0.040444127271026,0.0402619187794876
18.9,0.0396765107117262,0.0405286349340129,0.0406154616000216,0.0404392822853026
19,0.0398277674363575,0.0406970403149031,0.0407870097125154,0.0406171510356535
19.1,0.0399787162323554,0.0408656820298384,0.0409587529123011,0.040795474748837
19.2,0.0401293283124162,0.041034543331631,0.0411306724317898,0.0409741995508345
