"s [um]","Freq [GHz]","lost_power_fraction []"
24.5,17.66,0.0382130901655393
24.5,17.758,0.0383399366410379
24.5,17.856,0.0384665412836314
24.5,17.954,0.038592904427034
24.5,18.052,0.0387190263143548
24.5,18.15,0.0388449071000098
24.5,18.248,0.0389705468516367
24.5,18.346,0.0390959455520004
24.5,18.444,0.0392211031008987
24.5,18.542,0.0393460193170659
24.5,18.64,0.0394706939400651
24.5,18.738,0.0395951266321773
24.5,18.836,0.039719316980285
24.5,18.934,0.0398432644977449
24.5,19.032,0.039966968626251
24.5,19.13,0.0400904287376913
24.5,19.228,0.0402136441359936
24.5,19.326,0.0403366140589593
24.5,19.424,0.0404593376800857
24.5,19.522,0.040581814110379
24.5,19.62,0.0407040424001541
24.5,19.718,0.0408260215408189
24.5,19.816,0.0409477504666517
24.5,19.914,0.041069228056559
24.5,20.012,0.0411904531358211
24.5,20.11,0.0413114244778298
24.5,20.208,0.0414321408058013
24.5,20.306,0.041552600794485
24.5,20.404,0.0416728030718487
24.5,20.502,0.0417927462207568
24.5,20.6,0.0419124287806278
24.5,20.698,0.0420318492490769
24.5,20.796,0.04215100608355
24.5,20.894,0.0422698977029303
24.5,20.992,0.0423885224891435
24.5,21.09,0.0425068787887326
24.5,21.188,0.0426249649144309
24.5,21.286,0.0427427791467103
24.5,21.384,0.0428603197353142
24.5,21.482,0.042977584900783
24.5,21.58,0.0430945728359503
24.5,21.678,0.0432112817074378
24.5,21.776,0.0433277096571222
24.5,21.874,0.0434438548035936
24.5,21.972,0.0435597152435973
24.5,22.07,0.0436752890534593
24.5,22.168,0.043790574290494
24.5,22.266,0.0439055689943968
24.5,22.364,0.0440202711886292
24.5,22.462,0.0441346788817762
24.5,22.56,0.0442487900688958
24.5,22.658,0.0443626027328541
24.5,22.756,0.0444761148456404
24.5,22.854,0.0445893243696708
24.5,22.952,0.0447022292590793
24.5,23.05,0.0448148274609842
24.5,23.148,0.0449271169167541
24.5,23.246,0.045039095563247
24.5,23.344,0.0451507613340409
24.5,23.442,0.0452621121606512
24.5,23.54,0.0453731459737294
24.5,23.638,0.0454838607042494
24.5,23.736,0.045594254284683
24.5,23.834,0.0457043246501594
24.5,23.932,0.0458140697396082
24.5,24.03,0.0459234874968929
24.5,24.128,0.0460325758719305
24.5,24.226,0.0461413328217967
24.5,24.324,0.0462497563118148
24.5,24.422,0.0463578443166408
24.5,24.52,0.0464655948213257
24.5,24.618,0.0465730058223719
24.5,24.716,0.0466800753287717
24.5,24.814,0.046786801363038
24.5,24.912,0.0468931819622213
24.5,25.01,0.0469992151789125
24.5,25.108,0.0471048990822359
24.5,25.206,0.0472102317588305
24.5,25.304,0.0473152113138183
24.5,25.402,0.0474198358717607
24.5,25.5,0.0475241035776061
24.5,25.598,0.047628012597621
24.5,25.696,0.0477315611203188
24.5,25.794,0.047834747357366
24.5,25.892,0.0479375695444894
24.5,25.99,0.0480400259423599
24.5,26.088,0.0481421148374794
24.5,26.186,0.048243834543046
24.5,26.284,0.0483451833998143
