"Freq [GHz]","dB(St(1,1)) []"
20.5,-19.6738571444652
20.6,-19.643523229878
20.7,-19.6134847918358
20.8,-19.5837368399559
20.9,-19.5542773097426
21,-19.5251041726555
21.1,-19.4962154354381
21.2,-19.4676091394636
21.3,-19.4392833600971
21.4,-19.4112362060738
21.5,-19.3834658188928
21.6,-19.3559703722259
21.7,-19.3287480713421
21.8,-19.301797152545
21.9,-19.275115882625
22,-19.2487025583254
22.1,-19.222555505821
22.2,-19.1966730802096
22.3,-19.1710536650166
22.4,-19.1456956717112
22.5,-19.1205975392349
22.6,-19.0957577335406
22.7,-19.0711747471442
22.8,-19.0468470986862
22.9,-19.0227733325043
23,-18.9989520182161
23.1,-18.9753829741545
23.2,-18.952064799713
23.3,-18.9289949081383
23.4,-18.9061719668532
23.5,-18.883594666607
23.6,-18.8612617211158
23.7,-18.8391718667109
23.8,-18.8173238619956
23.9,-18.7957164875098
24,-18.7743485454036
24.1,-18.7532188591173
24.2,-18.7323262730703
24.3,-18.711669652356
24.4,-18.6912478824451
24.5,-18.671059868895
24.6,-18.6511045370666
24.7,-18.6313808318475
24.8,-18.6118877173816
24.9,-18.5926241768052
25,-18.5735892119893
25.1,-18.5547818432879
25.2,-18.5362011092919
25.3,-18.517846066589
25.4,-18.4997157895295
25.5,-18.4818093699968
25.6,-18.4641280946378
25.7,-18.4466688958004
25.8,-18.4294309171177
25.9,-18.4124133188844
26,-18.3956152778531
26.1,-18.3790359870354
26.2,-18.3626746555085
26.3,-18.3465305082245
26.4,-18.3306027858262
26.5,-18.3148907444655
26.6,-18.2993936556271
26.7,-18.2841108059556
26.8,-18.2690414970871
26.9,-18.2541850454842
27,-18.2395407822757
27.1,-18.2251080530989
27.2,-18.2108862179464
27.3,-18.1968746510166
27.4,-18.1830727405664
27.5,-18.1694798887695
27.6,-18.1560955115754
27.7,-18.1429190385744
27.8,-18.1299499128636
27.9,-18.1171875909173
28,-18.1046325510655
28.1,-18.0922842688869
28.2,-18.0801412295121
28.3,-18.0682029420452
28.4,-18.0564689283585
28.5,-18.0449387229795
28.6,-18.0336118729812
28.7,-18.0224879378757
28.8,-18.0115664895088
28.9,-18.0008471119587
29,-17.9903294014366
29.1,-17.9800129661893
29.2,-17.9698974264046
29.3,-17.9599824141196
29.4,-17.95026757313
29.5,-17.9407525589027
29.6,-17.9314370384905
29.7,-17.9223206904483
29.8,-17.9134032047522
29.9,-17.9046842827203
30,-17.8961636369353
30.1,-17.8878409911699
30.2,-17.8797160803136
30.3,-17.8717886503014
30.4,-17.8640584580443
30.5,-17.8565272006338
30.6,-17.8491927234102
30.7,-17.8420548161201
30.8,-17.8351132792255
30.9,-17.828367923844
31,-17.8218185716901
31.1,-17.8154650550188
31.2,-17.8093072165703
31.3,-17.8033449095168
31.4,-17.797577997411
31.5,-17.7920063541355
31.6,-17.7866298638545
31.7,-17.7814484209669
31.8,-17.7764619300607
31.9,-17.7716703058689
32,-17.7670734732274
32.1,-17.7626713670335
32.2,-17.7584639322071
32.3,-17.7544511236521
32.4,-17.7506329062198
32.5,-17.7470092546738
32.6,-17.7435801536561
32.7,-17.7403455976548
32.8,-17.7373055909727
32.9,-17.7344611015542
33,-17.7318121537275
33.1,-17.7293578276015
33.2,-17.7270981667287
33.3,-17.7250332243406
33.4,-17.7231630633244
33.5,-17.7214877562015
33.6,-17.720007385107
33.7,-17.7187220417705
33.8,-17.7176318274983
33.9,-17.716736853157
34,-17.7160372391578
34.1,-17.715533115443
34.2,-17.7152246214728
34.3,-17.7151119062141
34.4,-17.7151951281301
34.5,-17.7154744551714
34.6,-17.7159500647684
34.7,-17.7166221438248
34.8,-17.7174908887122
34.9,-17.7185565052668
35,-17.7198192087862
35.1,-17.7212792240284
35.2,-17.7229367852115
35.3,-17.724792136015
35.4,-17.7268474737221
35.5,-17.7291011220344
35.6,-17.7315533533044
35.7,-17.7342044493641
35.8,-17.737054701533
35.9,-17.7401044106273
36,-17.7433538869701
36.1,-17.7468034504034
36.2,-17.7504534303012
36.3,-17.7543041655845
36.4,-17.7583560047368
36.5,-17.7626093058214
36.6,-17.767064436501
36.7,-17.7717217740568
36.8,-17.7765817054111
36.9,-17.7816446271503
37,-17.786910945549
37.1,-17.7923810765967
37.2,-17.7980554460255
37.3,-17.8039344893391
37.4,-17.8100186518434
37.5,-17.8163083886797
37.6,-17.8228041648576
37.7,-17.8295064552916
