"Freq [GHz]","dB(St(1,1)) [] - dielectric_overlap='1um' pillar_h='10um'","dB(St(1,1)) [] - dielectric_overlap='1um' pillar_h='50um'","dB(St(1,1)) [] - dielectric_overlap='200um' pillar_h='50um'","dB(St(1,1)) [] - dielectric_overlap='205um' pillar_h='50um'"
24.2,-20.7536666000637,-25.5388857668375,-22.9482899107129,-22.7860051815719
24.3,-20.736210275966,-25.5330606784861,-22.9391194851906,-22.775785322678
24.4,-20.718996200289,-25.5275873098981,-22.9302656636604,-22.7658722288916
24.5,-20.7020237520743,-25.5224666579124,-22.9217289140546,-22.7562662072165
24.6,-20.6852923286533,-25.5176997457368,-22.9135097217812,-22.7469675877691
24.7,-20.6688013449074,-25.513287622723,-22.9056085894859,-22.7379767235523
24.8,-20.6525502326205,-25.509231364164,-22.8980260368398,-22.729293990267
24.9,-20.63653843991,-25.5055320711122,-22.8907626003483,-22.7209197861556
25,-20.6207654307261,-25.5021908702178,-22.8838188331827,-22.7128545318759
25.1,-20.6052306844106,-25.499208913588,-22.8771953050313,-22.7050986704013
25.2,-20.5899336953041,-25.4965873786647,-22.8708926019717,-22.6976526669426
25.3,-20.5748739723981,-25.4943274681215,-22.8649113263612,-22.6905170088914
25.4,-20.5600510390211,-25.49243040978,-22.8592520967455,-22.6836922057808
25.5,-20.5454644325569,-25.4908974565429,-22.8539155477847,-22.6771787892616
25.6,-20.5311160124832,-25.4897334811666,-22.8489055065752,-22.6709803769078
25.7,-20.5170030271332,-25.4889362172942,-22.844219476596,-22.6650944922646
25.8,-20.5031250549715,-25.4885069935519,-22.8398581410211,-22.6595217339468
25.9,-20.4894816876014,-25.4884471635508,-22.8358221990016,-22.6542627227127
26,-20.4760725295764,-25.488758105903,-22.8321123656669,-22.6493181014927
26.1,-20.4628971982227,-25.4894412242529,-22.8287293721407,-22.6446885354259
26.2,-20.4499553234708,-25.4904979473227,-22.8256739655675,-22.6403747119014
26.3,-20.4372465476937,-25.4919297289712,-22.8229469091521,-22.6363773406062
26.4,-20.4247705255521,-25.4937380482666,-22.8205489822097,-22.6326971535769
