"Freq [GHz]","dB(St(1,1)) [] - s='24.5um'"
39.2,-25.130569909966
39.3,-25.1353913385169
39.4,-25.1403735422519
39.5,-25.1455164963649
39.6,-25.150820176762
39.7,-25.1562845600472
39.8,-25.1619096235083
39.9,-25.1676953451039
40,-25.1736417034504
40.1,-25.1797486778105
40.2,-25.1860162480817
40.3,-25.1924475429731
40.4,-25.1990393947308
40.5,-25.2057917851291
40.6,-25.2127046965383
40.7,-25.219778111916
40.8,-25.2270120148005
40.9,-25.2344063893039
41,-25.241961220106
41.1,-25.2496764924491
41.2,-25.2575521921337
41.3,-25.2655883055139
41.4,-25.2737848194946
41.5,-25.2821417215287
41.6,-25.2906589996148
41.7,-25.2993366422965
41.8,-25.3081746386611
41.9,-25.3171729783399
42,-25.3263316515091
42.1,-25.3356506488906
42.2,-25.3451299617542
42.3,-25.3547695819206
42.4,-25.3645695017641
42.5,-25.3745297142172
42.6,-25.3846502127748
42.7,-25.3949309914995
42.8,-25.4053720450281
42.9,-25.4159733685776
43,-25.426734957953
43.1,-25.4376568095549
43.2,-25.4487389203883
43.3,-25.459981288072
43.4,-25.4713839108484
43.5,-25.4829467875943
43.6,-25.4946699178321
43.7,-25.5065533017415
43.8,-25.5185969401728
43.9,-25.5308008346595
44,-25.5431649874326
44.1,-25.5556894014351
44.2,-25.5683740803377
44.3,-25.5812190285538
44.4,-25.5942242512573
44.5,-25.607389754399
44.6,-25.6207155447248
44.7,-25.6342016297946
44.8,-25.6478480180009
44.9,-25.6616547185895
45,-25.6756217416798
45.1,-25.6897490982856
45.2,-25.7040399446185
45.3,-25.7184911497999
45.4,-25.7331027277184
45.5,-25.7478746932506
45.6,-25.7628070622863
45.7,-25.7778998517535
45.8,-25.7931530796443
45.9,-25.8085667650417
46,-25.8241409281467
46.1,-25.8398755903064
46.2,-25.8557707740426
46.3,-25.871826503081
46.4,-25.888042802381
46.5,-25.9044196981667
46.6,-25.9209572179577
46.7,-25.9376553906015
46.8,-25.9545142463056
46.9,-25.9715338166711
47,-25.9887141347265
47.1,-26.0060552349621
47.2,-26.0235571533658
47.3,-26.0412199274583
47.4,-26.0590435963302
47.5,-26.0770282006791
47.6,-26.0951737828472
47.7,-26.1134803868607
47.8,-26.131948058468
47.9,-26.1505768451804
48,-26.1693667963126
48.1,-26.1883179630235
48.2,-26.2074303983588
48.3,-26.226704157293
48.4,-26.2461392967734
48.5,-26.2657358757632
48.6,-26.2854939552872
48.7,-26.3054135984761
48.8,-26.3254948706134
48.9,-26.3457378391816
49,-26.3661425739099
49.1,-26.386709146822
49.2,-26.4074376322853
49.3,-26.4283281070599
49.4,-26.4493806503495
49.5,-26.4705953438515
49.6,-26.4919722718091
49.7,-26.5135115210638
49.8,-26.5352131811077
49.9,-26.5570773441381
50,-26.5791041051113
