"Freq [GHz]","lost_power_fraction []"
31.478,0.0618819071566556
31.527,0.0619448656639057
31.576,0.0620076668905242
31.625,0.0620703107387739
31.674,0.0621327971179332
31.723,0.0621951259443176
31.772,0.062257297141311
31.821,0.062319310639378
31.87,0.0623811663760919
31.919,0.0624428642961642
31.968,0.0625044043514512
32.017,0.0625657865009944
32.066,0.0626270107110385
32.115,0.0626880769550453
32.164,0.0627489852137254
32.213,0.0628097354750609
32.262,0.062870327734323
32.311,0.0629307619941032
32.36,0.0629910382643235
32.409,0.0630511565622739
32.458,0.0631111169126209
32.507,0.0631709193474395
32.556,0.0632305639062357
32.605,0.0632900506359609
32.654,0.0633493795910414
32.703,0.0634085508334034
32.752,0.0634675644324814
32.801,0.0635264204652596
32.85,0.0635851190162783
32.899,0.0636436601776657
32.948,0.0637020440491533
32.997,0.0637602707381058
33.046,0.0638183403595339
33.095,0.0638762530361252
33.144,0.0639340088982576
33.193,0.0639916080840272
33.242,0.064049050739272
33.291,0.0641063370175849
33.34,0.064163467080342
33.389,0.064220441096722
33.438,0.0642772592437317
33.487,0.0643339217062174
33.536,0.0643904286769031
33.585,0.0644467803563912
33.634,0.0645029769532014
33.683,0.0645590186837836
33.732,0.0646149057725373
33.781,0.0646706384518378
33.83,0.0647262169620594
33.879,0.0647816415515817
33.928,0.0648369124768332
33.977,0.0648920300022898
34.026,0.0649469944005086
34.075,0.06500180595215
34.124,0.0650564649459857
34.173,0.0651109716789324
34.222,0.0651653264560641
34.271,0.0652195295906374
34.32,0.0652735814041071
34.369,0.0653274822261488
34.418,0.0653812323946823
34.467,0.065434832255884
34.516,0.0654882821642112
34.565,0.0655415824824221
34.614,0.0655947335815986
34.663,0.0656477358411568
34.712,0.0657005896488712
34.761,0.0657532954008991
34.81,0.0658058535017935
34.859,0.0658582643645265
34.908,0.0659105284104997
34.957,0.0659626460695765
35.006,0.0660146177800898
35.055,0.0660664439888669
35.104,0.0661181251512477
35.153,0.0661696617311004
35.202,0.0662210542008399
35.251,0.0662723030414492
35.3,0.0663234087424992
35.349,0.0663743718021584
35.398,0.0664251927272191
35.447,0.0664758720331113
35.496,0.0665264102439255
35.545,0.0665768078924184
35.594,0.0666270655200468
35.643,0.0666771836769724
35.692,0.0667271629220813
35.741,0.0667770038230119
35.79,0.0668267069561488
35.839,0.0668762729066699
35.888,0.0669257022685343
35.937,0.066974995644519
35.986,0.067024153646226
36.035,0.0670731768941019
36.084,0.0671220660174512
36.133,0.0671708216544564
36.182,0.0672194444521895
36.231,0.0672679350666332
36.28,0.0673162941626868
36.329,0.0673645224141978
36.378,0.067412620503959
36.427,0.0674605891237386
36.476,0.0675084289742812
36.525,0.0675561407653407
36.574,0.0676037252156749
36.623,0.067651183053078
36.672,0.0676985150143808
36.721,0.0677457218454719
36.77,0.0677928043013135
36.819,0.0678397631459522
36.868,0.067886599152531
36.917,0.0679333131033071
36.966,0.0679799057896605
37.015,0.0680263780121134
37.064,0.0680727305803382
37.113,0.068118964313173
37.162,0.0681650800386285
37.211,0.0682110785939132
37.26,0.0682569608254315
37.309,0.0683027275888072
37.358,0.0683483797488859
37.407,0.0683939181797526
37.456,0.0684393437647443
37.505,0.0684846573964563
37.554,0.0685298599767591
37.603,0.0685749524168046
37.652,0.0686199356370395
37.701,0.0686648105672134
37.75,0.0687095781463964
37.799,0.0687542393229785
37.848,0.0687987950546903
37.897,0.0688432463086026
37.946,0.0688875940611432
37.995,0.068931839298108
38.044,0.068975983014661
38.093,0.0690200262153515
38.142,0.0690639699141194
38.191,0.069107815134306
38.24,0.0691515629086588
38.289,0.0691952142793439
38.338,0.0692387702979506
38.387,0.0692822320254982
38.436,0.0693256005324494
38.485,0.0693688768987117
38.534,0.0694120622136442
38.583,0.0694551575760703
38.632,0.0694981640942771
38.681,0.0695410828860286
38.73,0.069583915078565
38.779,0.0696266618086132
38.828,0.0696693242223896
38.877,0.0697119034756091
38.926,0.0697544007334879
38.975,0.069796817170745
39.024,0.0698391539716153
39.073,0.0698814123298436
39.122,0.069923593448699
39.171,0.0699656985409718
39.22,0.0700077288289783
39.269,0.0700496855445688
39.318,0.0700915699291229
39.367,0.0701333832335561
39.416,0.0701751267183303
39.465,0.0702168016534412
39.514,0.0702584093184292
39.563,0.0702999510023861
39.612,0.0703414280039416
39.661,0.0703828416312816
39.71,0.0704241932021341
39.759,0.0704654840437851
39.808,0.0705067154930655
39.857,0.070547888896359
39.906,0.0705890056096001
39.955,0.0706300669982762
40.004,0.0706710744374177
40.053,0.0707120293116125
40.102,0.0707529330149931
40.151,0.0707937869512358
40.2,0.0708345925335683
40.249,0.0708753511847534
40.298,0.0709160643370985
40.347,0.070956733432456
40.396,0.0709973599221991
40.445,0.0710379452672446
40.494,0.0710784909380339
40.543,0.0711189984145341
40.592,0.0711594691862328
40.641,0.0711999047521368
40.69,0.0712403066207632
40.739,0.0712806763101348
40.788,0.07132101534778
40.837,0.0713613252707244
40.886,0.0714016076254804
40.935,0.0714418639680462
40.984,0.0714820958639053
41.033,0.0715223048880033
41.082,0.0715624926247577
41.131,0.0716026606680426
41.18,0.0716428106211774
41.229,0.0716829440969308
41.278,0.0717230627175003
41.327,0.0717631681145108
41.376,0.0718032619290062
41.425,0.0718433458114331
41.474,0.0718834214216408
41.523,0.0719234904288643
41.572,0.0719635545117153
41.621,0.0720036153581813
41.67,0.0720436746655979
41.719,0.0720837341406531
41.768,0.0721237954993665
41.817,0.0721638604670827
41.866,0.072203930778458
41.915,0.0722440081774472
41.964,0.0722840944172907
42.013,0.0723241912605053
42.062,0.0723643004788638
42.111,0.072404423853394
42.16,0.0724445631743468
42.209,0.0724847202411957
42.258,0.072524896862623
42.307,0.0725650948564955
42.356,0.0726053160498525
42.405,0.072645562278899
42.454,0.0726858353889758
42.503,0.0727261372345572
42.552,0.072766469679221
42.601,0.0728068345956423
42.65,0.072847233865574
42.699,0.0728876693798256
42.748,0.072928143038246
42.797,0.0729686567497142
42.846,0.0730092124321046
42.895,0.0730498120122829
42.944,0.0730904574260811
42.993,0.0731311506182788
43.042,0.0731718935425821
43.091,0.0732126881616022
43.14,0.073253536446845
43.189,0.0732944403786728
43.238,0.0733354019462997
43.287,0.0733764231477607
43.336,0.0734175059898984
43.385,0.0734586524883261
43.434,0.073499864667423
43.483,0.0735411445602953
43.532,0.0735824942087695
43.581,0.0736239156633554
43.63,0.0736654109832264
43.679,0.0737069822362003
43.728,0.0737486314987091
43.777,0.0737903608557772
43.826,0.0738321724009897
43.875,0.0738740682364836
43.924,0.0739160504729003
43.973,0.0739581212293794
44.022,0.0740002826335143
44.071,0.0740425368213432
44.12,0.0740848859373086
44.169,0.0741273321342337
44.218,0.074169877573299
44.267,0.0742125244240094
44.316,0.0742552748641676
44.365,0.0742981310798451
44.414,0.0743410952653535
44.463,0.0743841696232154
44.512,0.0744273563641313
44.561,0.0744706577069569
44.61,0.0745140758786671
44.659,0.074557613114326
44.708,0.074601271657055
44.757,0.0746450537580052
44.806,0.0746889616763238
44.855,0.074732997679123
44.904,0.0747771640414432
44.953,0.0748214630462257
45.002,0.0748658969842811
45.051,0.074910468154248
45.1,0.0749551788625646
45.149,0.0750000314234395
45.198,0.0750450281588085
45.247,0.0750901713983058
45.296,0.0751354634792261
45.345,0.0751809067464939
45.394,0.075226503552617
45.443,0.0752722562576702
45.492,0.075318167229239
45.541,0.0753642388423947
45.59,0.0754104734796532
45.639,0.0754568735309444
45.688,0.0755034413935617
45.737,0.0755501794721393
45.786,0.0755970901786047
45.835,0.0756441759321426
45.884,0.0756914391591598
45.933,0.0757388822932371
45.982,0.0757865077751019
46.031,0.0758343180525819
46.08,0.0758823155805617
46.129,0.0759305028209563
46.178,0.075978882242649
46.227,0.0760274563214761
46.276,0.076076227540162
46.325,0.0761251983882972
46.374,0.0761743713622824
46.423,0.0762237489652939
46.472,0.076273333707242
46.521,0.0763231281047225
46.57,0.0763731346809791
46.619,0.0764233559658589
46.668,0.0764737944957654
46.717,0.0765244528136264
46.766,0.0765753334688308
46.815,0.0766264390172025
46.864,0.0766777720209438
46.913,0.0767293350485986
46.962,0.0767811306750008
47.011,0.0768331614812305
47.06,0.076885430054575
47.109,0.0769379389884693
47.158,0.076990690882464
47.207,0.0770436883421687
47.256,0.0770969339792096
47.305,0.0771504304111779
47.354,0.0772041802615897
47.403,0.0772581861598347
47.452,0.077312450741122
47.501,0.0773669766464463
47.55,0.0774217665225233
47.599,0.0774768230217486
47.648,0.0775321488021498
47.697,0.077587746527336
47.746,0.0776436188664466
47.795,0.0776997684941007
47.844,0.0777561980903518
47.893,0.0778129103406294
47.942,0.0778699079356979
47.991,0.0779271935715963
48.04,0.0779847699495937
48.089,0.0780426397761346
48.138,0.0781008057627868
48.187,0.0781592706261914
48.236,0.0782180370880099
48.285,0.0782771078748696
48.334,0.0783364857183121
48.383,0.078396173354745
48.432,0.0784561735253783
48.481,0.0785164889761816
48.53,0.0785771224578222
48.579,0.0786380767256157
48.628,0.0786993545394681
48.677,0.0787609586638283
48.726,0.0788228918676195
48.775,0.0788851569242062
48.824,0.0789477566113137
48.873,0.0790106937109886
48.922,0.0790739710095417
48.971,0.0791375912974884
49.02,0.079201557369491
49.069,0.0792658720243068
49.118,0.0793305380647296
49.167,0.0793955582975305
49.216,0.0794609355334073
49.265,0.0795266725869146
49.314,0.0795927722764218
49.363,0.0796592374240437
49.412,0.0797260708555872
49.461,0.0797932754004931
49.51,0.0798608538917742
49.559,0.07992880916596
49.608,0.0799971440630383
49.657,0.0800658614263913
49.706,0.0801349641027421
49.755,0.0802044549420924
49.804,0.0802743367976576
49.853,0.0803446125258185
49.902,0.0804152849860463
49.951,0.0804863570408608
50,0.0805578315557473
