"Freq [GHz]","dB(St(2,1)) []"
12.66,-0.434098694571631
12.715,-0.434779141539511
12.77,-0.435461145787152
12.825,-0.43614475674782
12.88,-0.436830020281431
12.935,-0.437516978913609
12.99,-0.438205672140287
13.045,-0.438896136800531
13.1,-0.439588407520081
13.155,-0.440282517228494
13.21,-0.440978497751829
13.265,-0.441676380483628
13.32,-0.442376197135302
13.375,-0.443077980567866
13.43,-0.443781765705162
13.485,-0.444487590528834
13.54,-0.445195497153223
13.595,-0.445905532978182
13.65,-0.446617751914609
13.705,-0.447332215677311
13.76,-0.448048995135015
13.815,-0.448768171706487
13.87,-0.449489838786414
13.925,-0.450214103181385
13.98,-0.450941086531079
14.035,-0.45167092668377
14.09,-0.452403778989626
14.145,-0.453139817466871
14.2,-0.453879235789691
14.255,-0.454622248036435
14.31,-0.455369089129914
14.365,-0.456120014890697
14.42,-0.456875301617839
14.475,-0.457635245101621
14.53,-0.458400158967912
14.585,-0.45917037224881
14.64,-0.459946226072513
14.695,-0.460728069367677
14.75,-0.461516253484254
14.805,-0.462311125643822
14.86,-0.463113021149759
14.915,-0.463922254310213
14.97,-0.464739108052619
15.025,-0.465563822239745
15.08,-0.466396580726747
15.135,-0.467237497226909
15.19,-0.468086600072079
15.245,-0.46894381596122
15.3,-0.469808952774531
15.355,-0.470681681489283
15.41,-0.471561517157253
15.465,-0.472447798786973
15.52,-0.473339667813751
15.575,-0.474236044635114
15.63,-0.475135602442293
15.685,-0.476036737298938
15.74,-0.476937533123402
15.795,-0.477835719946352
15.85,-0.478728623583867
15.905,-0.47961310474388
15.96,-0.480485485658794
16.015,-0.48134146271861
16.07,-0.482176004422502
16.125,-0.482983235445638
16.18,-0.483756309926093
16.235,-0.484487280367065
16.29,-0.485166972859102
16.345,-0.485784884463036
16.4,-0.486329124008474
16.455,-0.486786422276881
16.51,-0.487142240212952
16.565,-0.487381003029867
16.62,-0.487486482862016
16.675,-0.48744234295657
16.73,-0.487232843431951
16.785,-0.486843694196589
16.84,-0.486263026102625
16.895,-0.485482436634238
16.95,-0.484498049611055
17.005,-0.483311507758543
17.06,-0.481930793647016
17.115,-0.480370754611496
17.17,-0.478653201816387
17.225,-0.476806474666511
17.28,-0.474864416267745
17.335,-0.472864789849168
17.39,-0.470847263516227
17.445,-0.468851176089653
17.5,-0.466913344723721
17.555,-0.465066170139566
17.61,-0.463336238672589
17.665,-0.46174352870707
17.72,-0.460301227939049
17.775,-0.459016081753429
17.83,-0.457889137625613
17.885,-0.456916730150557
17.94,-0.456091560699018
17.995,-0.45540375423924
18.05,-0.454841812315765
18.105,-0.45439341668231
18.16,-0.454046067309512
18.215,-0.453787559366369
18.27,-0.453606316546479
18.325,-0.453491604262806
18.38,-0.45343364765531
18.435,-0.453423677812637
18.49,-0.453453926505172
18.545,-0.453517586052409
18.6,-0.453608747320421
18.655,-0.453722325599626
18.71,-0.453853981393824
18.765,-0.454000040978123
18.82,-0.454157419912021
18.875,-0.454323551453681
18.93,-0.454496320926209
18.985,-0.454674006466173
19.04,-0.454855226167473
19.095,-0.455038891368799
19.15,-0.455224165675059
19.205,-0.455410429222933
19.26,-0.455597247669595
19.315,-0.45578434538653
19.37,-0.455971582365139
19.425,-0.456158934375313
19.48,-0.456346475959352
19.535,-0.456534365887948
19.59,-0.456722834744952
19.645,-0.456912174349594
19.7,-0.457102728759913
19.755,-0.457294886635033
19.81,-0.457489074763488
19.865,-0.457685752589951
19.92,-0.457885407596662
19.975,-0.458088551414497
20.03,-0.458295716555983
20.085,-0.458507453677619
20.14,-0.458724329290941
20.195,-0.458946923852096
20.25,-0.45917583017007
20.305,-0.459411652079945
20.36,-0.459655003335276
20.415,-0.459906506678561
20.47,-0.460166793053832
20.525,-0.460436500929054
20.58,-0.460716275699839
20.635,-0.461006769148228
20.69,-0.461308638932892
20.745,-0.461622548089552
20.8,-0.461949164521299
20.855,-0.462289160460484
20.91,-0.462643211885149
20.965,-0.463011997873528
21.02,-0.463396199881572
21.075,-0.463796500928873
21.13,-0.464213584679695
21.185,-0.464648134405075
21.24,-0.465100831814892
21.295,-0.465572355746818
21.35,-0.466063380701349
21.405,-0.466574575212378
21.46,-0.467106600042552
21.515,-0.467660106194312
21.57,-0.468235732727441
21.625,-0.46883410437481
21.68,-0.469455828948703
21.735,-0.470101494530924
21.79,-0.470771666440896
21.845,-0.47146688397579
21.9,-0.472187656920198
21.955,-0.472934461820525
22.01,-0.473707738023737
22.065,-0.474507883479372
22.12,-0.475335250306273
22.175,-0.476190140126354
22.23,-0.47707279917079
22.285,-0.477983413164713
22.34,-0.478922101999661
22.395,-0.479888914205689
22.45,-0.480883821237104
22.505,-0.481906711589914
22.56,-0.482957384771983
22.615,-0.484035545150694
22.67,-0.485140795707688
22.725,-0.486272631734173
22.78,-0.487430434506153
22.835,-0.488613464983116
22.89,-0.489820857581339
22.945,-0.491051614077342
23,-0.492304597704779
23.055,-0.493578527514957
23.11,-0.494871973077233
23.165,-0.496183349604268
23.22,-0.497510913593551
23.275,-0.498852759083743
23.33,-0.500206814632246
23.385,-0.501570841125696
23.44,-0.502942430541887
23.495,-0.504319005785769
23.55,-0.505697821726117
23.605,-0.507075967560636
23.66,-0.508450370638807
23.715,-0.509817801866918
23.77,-0.511174882817135
23.825,-0.512518094652667
23.88,-0.513843788970021
23.935,-0.515148200643763
23.99,-0.516427462739934
24.045,-0.517677623540956
24.1,-0.518894665695664
24.155,-0.520074527477814
24.21,-0.521213126098913
24.265,-0.522306382981706
24.32,-0.523350250858017
24.375,-0.524340742509073
24.43,-0.525273960920342
24.485,-0.526146130575633
24.54,-0.526953629570763
24.595,-0.527693022183113
24.65,-0.528361091497154
24.705,-0.528954871652089
24.76,-0.529471679255617
24.815,-0.529909143491719
24.87,-0.530265234448218
24.925,-0.53053828919715
24.98,-0.530727035182968
25.035,-0.530830610507589
25.09,-0.530848580746095
25.145,-0.530780951986131
25.2,-0.53062817984568
25.255,-0.530391174293232
25.31,-0.53007130015739
25.365,-0.529670373262929
25.42,-0.52919065214692
25.475,-0.528634825273038
25.53,-0.528005993522685
25.585,-0.527307647442003
25.64,-0.526543638141917
25.695,-0.525718139704144
25.75,-0.524835599123699
25.805,-0.523900666711145
25.86,-0.522918094674985
25.915,-0.521892583139655
25.97,-0.520828539717792
26.025,-0.519729700308549
26.08,-0.518598538644324
26.135,-0.517435388170054
26.19,-0.516237267443483
26.245,-0.514996668154313
26.3,-0.513701228154388
26.355,-0.51233625121203
26.41,-0.510892322623336
26.465,-0.509376977453503
26.52,-0.507821936323436
26.575,-0.50627535715673
26.63,-0.504781955278862
26.685,-0.503367684764235
26.74,-0.502038783885645
26.795,-0.500789742295844
26.85,-0.499611325313092
26.905,-0.498495068573922
26.96,-0.497434789575398
27.015,-0.496426580180899
27.07,-0.495468286167649
27.125,-0.494558938807908
