"Freq [GHz]","dB(St(1,1)) []"
30.1,-15.8214047206934
30.2,-15.8053721209026
30.3,-15.7942338001083
30.4,-15.790436897809
30.5,-15.7892159140427
30.6,-15.7982986044083
30.7,-15.8073812947738
30.8,-15.8294706461605
30.9,-15.8515599975471
31,-15.8839952292453
31.1,-15.9190169310215
31.2,-15.9618945384373
31.3,-16.0100094162796
31.4,-16.0635371315053
31.5,-16.1251841028064
31.6,-16.1896729504248
31.7,-16.2655293033126
31.8,-16.3413856562004
31.9,-16.4323517548492
32,-16.5233178534979
32.1,-16.627277690121
32.2,-16.7344859612377
32.3,-16.8522735181288
32.4,-16.9771139322029
32.5,-17.1096821373147
32.6,-17.2538420289829
32.7,-17.4022739968504
32.8,-17.5677942695153
32.9,-17.7333145421802
33,-17.9226675583672
33.1,-18.1120205745542
33.2,-18.3228497565237
33.3,-18.5390479799388
33.4,-18.7735773037295
33.5,-19.0203273611039
33.6,-19.2811478075558
33.7,-19.5630738376237
33.8,-19.8532098615658
33.9,-20.176185861004
34,-20.4991618604423
34.1,-20.870821103058
34.2,-21.2424803456737
34.3,-21.6612462042961
34.4,-22.0917887169202
34.5,-22.5661189938813
34.6,-23.0696411137339
34.7,-23.6104659958594
34.8,-24.2072450213945
34.9,-24.8287880927072
35,-25.5493873471308
35.1,-26.2699866015544
35.2,-27.1628716879227
35.3,-28.0557567742911
35.4,-29.1502216279366
35.5,-30.2950814234015
35.6,-31.6612365435225
35.7,-33.1749218800809
35.8,-34.793380518673
35.9,-36.5689991103152
36,-38.0144766698844
36.1,-38.139390101161
36.2,-38.2643035324377
36.3,-36.5228303627807
36.4,-34.7813571931239
36.5,-33.1984444147405
36.6,-31.6551717341753
36.7,-30.3378768926332
36.8,-29.171233943773
36.9,-28.1080765015191
37,-27.2001473191744
37.1,-26.327260727528
37.2,-25.5945444986751
37.3,-24.8618282698221
37.4,-24.253503001461
37.5,-23.6451777330999
37.6,-23.1108301202274
37.7,-22.5949769212271
37.8,-22.1219797383108
37.9,-21.6775532327841
38,-21.2558959845534
38.1,-20.8683926222669
38.2,-20.4901995355522
38.3,-20.1492475511243
38.4,-19.8082955666966
38.5,-19.5062502400561
38.6,-19.2042049134157
