Freq.	S22(V1)
6.05205205205205e+09	(-1.92003642065089e+01dB,1.12596526308632e+02°)
6.10110110110110e+09	(-1.93457009858332e+01dB,1.11149290976352e+02°)
6.15015015015015e+09	(-1.94970666514061e+01dB,1.09701681429204e+02°)
6.19919919919920e+09	(-1.96547093148239e+01dB,1.08253560158179e+02°)
6.24824824824825e+09	(-1.98188963832791e+01dB,1.06804781085844e+02°)
6.29729729729730e+09	(-1.99899165450703e+01dB,1.05355188185422e+02°)
6.34634634634635e+09	(-2.01680820227353e+01dB,1.03904613876709e+02°)
6.39539539539540e+09	(-2.03537311381018e+01dB,1.02452877154864e+02°)
6.44444444444444e+09	(-2.05472312423302e+01dB,1.00999781397961e+02°)
6.49349349349349e+09	(-2.07489820748709e+01dB,9.95451117865108e+01°)
6.54254254254254e+09	(-2.09594196286866e+01dB,9.80886322516880e+01°)
6.59159159159159e+09	(-2.11790206158869e+01dB,9.66300818481809e+01°)
6.64064064064064e+09	(-2.14083076489552e+01dB,9.51691704203304e+01°)
6.68968968968969e+09	(-2.16478552793743e+01dB,9.37055733950483e+01°)
6.73873873873874e+09	(-2.18982970693413e+01dB,9.22389254885283e+01°)
6.78778778778779e+09	(-2.21603339157027e+01dB,9.07688130523593e+01°)
6.83683683683684e+09	(-2.24347439013982e+01dB,8.92947647024999e+01°)
6.88588588588589e+09	(-2.27223940229439e+01dB,8.78162397637316e+01°)
6.93493493493493e+09	(-2.30242542388254e+01dB,8.63326139109027e+01°)
6.98398398398398e+09	(-2.33414144116419e+01dB,8.48431611797884e+01°)
7.03303303303303e+09	(-2.36751048887232e+01dB,8.33470312291751e+01°)
7.08208208208208e+09	(-2.40267216991825e+01dB,8.18432203240524e+01°)
7.13113113113113e+09	(-2.43978576660211e+01dB,8.03305339194959e+01°)
7.18018018018018e+09	(-2.47903411782728e+01dB,7.88075378653219e+01°)
7.22922922922923e+09	(-2.52062849987360e+01dB,7.72724939796092e+01°)
7.27827827827828e+09	(-2.56481483873477e+01dB,7.57232738224381e+01°)
7.32732732732733e+09	(-2.61188171399697e+01dB,7.41572415550205e+01°)
7.37637637637638e+09	(-2.66217081044431e+01dB,7.25710921415287e+01°)
7.42542542542543e+09	(-2.71609077129626e+01dB,7.09606237034092e+01°)
7.47447447447447e+09	(-2.77413586921729e+01dB,6.93204105242677e+01°)
7.52352352352352e+09	(-2.83691164732234e+01dB,6.76433222267107e+01°)
7.57257257257257e+09	(-2.90517088840804e+01dB,6.59197976634517e+01°)
7.62162162162162e+09	(-2.97986531099642e+01dB,6.41367142934343e+01°)
7.67067067067067e+09	(-3.06222197045441e+01dB,6.22755639377534e+01°)
7.71971971971972e+09	(-3.15385988966418e+01dB,6.03093836523841e+01°)
7.76876876876877e+09	(-3.25697499742442e+01dB,5.81973279137341e+01°)
7.81781781781782e+09	(-3.37464687677016e+01dB,5.58744696098593e+01°)
7.86686686686687e+09	(-3.51137561462720e+01dB,5.32311396931443e+01°)
7.91591591591592e+09	(-3.67408343527828e+01dB,5.00668724453158e+01°)
7.96496496496496e+09	(-3.87412630224381e+01dB,4.59739851837775e+01°)
8.01401401401401e+09	(-4.13161906589604e+01dB,3.99882336292042e+01°)
8.06306306306306e+09	(-4.48411798756895e+01dB,2.92580969647493e+01°)
8.11211211211211e+09	(-4.96929871021394e+01dB,2.57124564939527e+00°)
8.16116116116116e+09	(-5.10240959113459e+01dB,-5.97440586494562e+01°)
8.21021021021021e+09	(-4.61044764206061e+01dB,-9.66087219548966e+01°)
8.25925925925926e+09	(-4.21615237783081e+01dB,-1.10118036907772e+02°)
8.30830830830831e+09	(-3.93228366750756e+01dB,-1.17045326025507e+02°)
8.35735735735736e+09	(-3.71466896104075e+01dB,-1.21550144961447e+02°)
8.40640640640641e+09	(-3.53914264809110e+01dB,-1.24925798477223e+02°)
8.45545545545546e+09	(-3.39236613951486e+01dB,-1.27688759409294e+02°)
8.50450450450450e+09	(-3.26638384836107e+01dB,-1.30083251685956e+02°)
8.55355355355355e+09	(-3.15611432394958e+01dB,-1.32239172423724e+02°)
8.60260260260260e+09	(-3.05812870102402e+01dB,-1.34231809500700e+02°)
8.65165165165165e+09	(-2.97000957254671e+01dB,-1.36107747442166e+02°)
8.70070070070070e+09	(-2.88999112864791e+01dB,-1.37897329540611e+02°)
8.74974974974975e+09	(-2.81674540716500e+01dB,-1.39621155363289e+02°)
8.79879879879880e+09	(-2.74924917065729e+01dB,-1.41293693939388e+02°)
8.84784784784785e+09	(-2.68669762192961e+01dB,-1.42925401879754e+02°)
8.89689689689690e+09	(-2.62844654814282e+01dB,-1.44524020924427e+02°)
8.94594594594595e+09	(-2.57397238018423e+01dB,-1.46095402998512e+02°)
8.99499499499500e+09	(-2.52284391464691e+01dB,-1.47644051878937e+02°)
9.04404404404404e+09	(-2.47470184600270e+01dB,-1.49173488815236e+02°)
9.09309309309309e+09	(-2.42924366078313e+01dB,-1.50686505392332e+02°)
9.14214214214214e+09	(-2.38621229489120e+01dB,-1.52185342205347e+02°)
9.19119119119119e+09	(-2.34538748419132e+01dB,-1.53671817548264e+02°)
9.24024024024024e+09	(-2.30657907683969e+01dB,-1.55147421700825e+02°)
9.28928928928929e+09	(-2.26962179729798e+01dB,-1.56613387084132e+02°)
9.33833833833834e+09	(-2.23437110009697e+01dB,-1.58070741195656e+02°)
9.38738738738739e+09	(-2.20069985238499e+01dB,-1.59520347062170e+02°)
9.43643643643644e+09	(-2.16849565433951e+01dB,-1.60962934515644e+02°)
9.48548548548549e+09	(-2.13765865589475e+01dB,-1.62399124633664e+02°)
9.53453453453453e+09	(-2.10809976354565e+01dB,-1.63829449027188e+02°)
9.58358358358358e+09	(-2.07973915659235e+01dB,-1.65254365201093e+02°)
9.63263263263263e+09	(-2.05250505097371e+01dB,-1.66674268890752e+02°)
9.68168168168168e+09	(-2.02633266279031e+01dB,-1.68089504048019e+02°)
9.73073073073073e+09	(-2.00116333408741e+01dB,-1.69500370983779e+02°)
9.77977977977978e+09	(-1.97694379140079e+01dB,-1.70907133052872e+02°)
9.82882882882883e+09	(-1.95362551363884e+01dB,-1.72310022177496e+02°)
9.87787787787788e+09	(-1.93116419055919e+01dB,-1.73709243438315e+02°)
9.92692692692693e+09	(-1.90951925674051e+01dB,-1.75104978912116e+02°)
9.97597597597598e+09	(-1.88865348880749e+01dB,-1.76497390896636e+02°)
1.00250250250250e+10	(-1.86853265592234e+01dB,-1.77886624633881e+02°)
1.00740740740741e+10	(-1.84912521534895e+01dB,-1.79272810620639e+02°)
1.01231231231231e+10	(-1.83040204632987e+01dB,1.79343933422664e+02°)
1.01721721721722e+10	(-1.81233621667195e+01dB,1.77963500867330e+02°)
1.02212212212212e+10	(-1.79490277736989e+01dB,1.76585794729451e+02°)
1.02702702702703e+10	(-1.77807858135882e+01dB,1.75210726422649e+02°)
1.03193193193193e+10	(-1.76184212310872e+01dB,1.73838214679371e+02°)
