Freq.	S12(V1)
4.87487487487488e+09	(-7.33249731857229e-01dB,-1.30984293070028e+02°)
4.92392392392392e+09	(-7.32767387628329e-01dB,-1.32284066331982e+02°)
4.97297297297297e+09	(-7.32189239390707e-01dB,-1.33584064753929e+02°)
5.02202202202202e+09	(-7.31516624194623e-01dB,-1.34884311368094e+02°)
5.07107107107107e+09	(-7.30751003092542e-01dB,-1.36184828917166e+02°)
5.12012012012012e+09	(-7.29893960003195e-01dB,-1.37485639826066e+02°)
5.16916916916917e+09	(-7.28947200437498e-01dB,-1.38786766173786e+02°)
5.21821821821822e+09	(-7.27912550084884e-01dB,-1.40088229665321e+02°)
5.26726726726727e+09	(-7.26791953258444e-01dB,-1.41390051603736e+02°)
5.31631631631632e+09	(-7.25587471197733e-01dB,-1.42692252862354e+02°)
5.36536536536537e+09	(-7.24301280227682e-01dB,-1.43994853857139e+02°)
5.41441441441441e+09	(-7.22935669772531e-01dB,-1.45297874519279e+02°)
5.46346346346346e+09	(-7.21493040223532e-01dB,-1.46601334267995e+02°)
5.51251251251251e+09	(-7.19975900659359e-01dB,-1.47905251983627e+02°)
5.56156156156156e+09	(-7.18386866418438e-01dB,-1.49209645981006e+02°)
5.61061061061061e+09	(-7.16728656522190e-01dB,-1.50514533983169e+02°)
5.65965965965966e+09	(-7.15004090948636e-01dB,-1.51819933095434e+02°)
5.70870870870871e+09	(-7.13216087756000e-01dB,-1.53125859779876e+02°)
5.75775775775776e+09	(-7.11367660055669e-01dB,-1.54432329830259e+02°)
5.80680680680681e+09	(-7.09461912834935e-01dB,-1.55739358347420e+02°)
5.85585585585586e+09	(-7.07502039629021e-01dB,-1.57046959715198e+02°)
5.90490490490491e+09	(-7.05491319043271e-01dB,-1.58355147576911e+02°)
5.95395395395395e+09	(-7.03433111125813e-01dB,-1.59663934812431e+02°)
6.00300300300300e+09	(-7.01330853591636e-01dB,-1.60973333515910e+02°)
6.05205205205205e+09	(-6.99188057899223e-01dB,-1.62283354974190e+02°)
6.10110110110110e+09	(-6.97008305181273e-01dB,-1.63594009645949e+02°)
6.15015015015015e+09	(-6.94795242031142e-01dB,-1.64905307141620e+02°)
6.19919919919920e+09	(-6.92552576147268e-01dB,-1.66217256204134e+02°)
6.24824824824825e+09	(-6.90284071837899e-01dB,-1.67529864690538e+02°)
6.29729729729730e+09	(-6.87993545389039e-01dB,-1.68843139554522e+02°)
6.34634634634635e+09	(-6.85684860298754e-01dB,-1.70157086829919e+02°)
6.39539539539540e+09	(-6.83361922381534e-01dB,-1.71471711615204e+02°)
6.44444444444444e+09	(-6.81028674746464e-01dB,-1.72787018059064e+02°)
6.49349349349349e+09	(-6.78689092653895e-01dB,-1.74103009347067e+02°)
6.54254254254254e+09	(-6.76347178255290e-01dB,-1.75419687689482e+02°)
6.59159159159159e+09	(-6.74006955221477e-01dB,-1.76737054310300e+02°)
6.64064064064064e+09	(-6.71672463265061e-01dB,-1.78055109437505e+02°)
6.68968968968969e+09	(-6.69347752563223e-01dB,-1.79373852294624e+02°)
6.73873873873874e+09	(-6.67036878087275e-01dB,1.79306718906380e+02°)
6.78778778778779e+09	(-6.64743893846174e-01dB,1.77986606970846e+02°)
6.83683683683684e+09	(-6.62472847051426e-01dB,1.76665815725729e+02°)
