Freq.	S22(V1)
1.40470470470470e+10	(-2.33292658636114e+01dB,1.55729272931076e+02°)
1.40960960960961e+10	(-2.31675308167484e+01dB,1.54572273518873e+02°)
1.41451451451451e+10	(-2.30098618823986e+01dB,1.53420049524603e+02°)
1.41941941941942e+10	(-2.28561463368693e+01dB,1.52272376304204e+02°)
1.42432432432432e+10	(-2.27062778210209e+01dB,1.51129045149437e+02°)
1.42922922922923e+10	(-2.25601559078199e+01dB,1.49989861874067e+02°)
1.43413413413413e+10	(-2.24176857070106e+01dB,1.48854645546898e+02°)
1.43903903903904e+10	(-2.22787775032367e+01dB,1.47723227354201e+02°)
1.44394394394394e+10	(-2.21433464243672e+01dB,1.46595449576410e+02°)
1.44884884884885e+10	(-2.20113121371367e+01dB,1.45471164665987e+02°)
1.45375375375375e+10	(-2.18825985675385e+01dB,1.44350234414922e+02°)
1.45865865865866e+10	(-2.17571336436652e+01dB,1.43232529202031e+02°)
1.46356356356356e+10	(-2.16348490589588e+01dB,1.42117927311183e+02°)
1.46846846846847e+10	(-2.15156800540310e+01dB,1.41006314312892e+02°)
1.47337337337337e+10	(-2.13995652154177e+01dB,1.39897582502548e+02°)
1.47827827827828e+10	(-2.12864462897872e+01dB,1.38791630389324e+02°)
1.48318318318318e+10	(-2.11762680122807e+01dB,1.37688362230623e+02°)
1.48808808808809e+10	(-2.10689779477979e+01dB,1.36587687607392e+02°)
1.49299299299299e+10	(-2.09645263441437e+01dB,1.35489521036261e+02°)
1.49789789789790e+10	(-2.08628659960748e+01dB,1.34393781614902e+02°)
1.50280280280280e+10	(-2.07639521193702e+01dB,1.33300392697367e+02°)
1.50770770770771e+10	(-2.06677422341286e+01dB,1.32209281596590e+02°)
1.51261261261261e+10	(-2.05741960565846e+01dB,1.31120379311478e+02°)
1.51751751751752e+10	(-2.04832753987837e+01dB,1.30033620276334e+02°)
1.52242242242242e+10	(-2.03949440755384e+01dB,1.28948942130594e+02°)
1.52732732732733e+10	(-2.03091678181208e+01dB,1.27866285507044e+02°)
1.53223223223223e+10	(-2.02259141942132e+01dB,1.26785593836907e+02°)
1.53713713713714e+10	(-2.01451525336691e+01dB,1.25706813170327e+02°)
1.54204204204204e+10	(-2.00668538596875e+01dB,1.24629892010956e+02°)
1.54694694694695e+10	(-1.99909908250336e+01dB,1.23554781163444e+02°)
1.55185185185185e+10	(-1.99175376529680e+01dB,1.22481433592779e+02°)
1.55675675675676e+10	(-1.98464700825914e+01dB,1.21409804294532e+02°)
1.56166166166166e+10	(-1.97777653183194e+01dB,1.20339850175111e+02°)
1.56656656656657e+10	(-1.97114019832409e+01dB,1.19271529941277e+02°)
1.57147147147147e+10	(-1.96473600761300e+01dB,1.18204803998198e+02°)
1.57637637637638e+10	(-1.95856209319065e+01dB,1.17139634355404e+02°)
1.58128128128128e+10	(-1.95261671853503e+01dB,1.16075984540062e+02°)
1.58618618618619e+10	(-1.94689827379045e+01dB,1.15013819517060e+02°)
1.59109109109109e+10	(-1.94140527274101e+01dB,1.13953105615407e+02°)
1.59599599599600e+10	(-1.93613635006300e+01dB,1.12893810460543e+02°)
1.60090090090090e+10	(-1.93109025884398e+01dB,1.11835902912156e+02°)
1.60580580580581e+10	(-1.92626586835697e+01dB,1.10779353007122e+02°)
1.61071071071071e+10	(-1.92166216207989e+01dB,1.09724131907327e+02°)
1.61561561561562e+10	(-1.91727823595095e+01dB,1.08670211851997e+02°)
1.62052052052052e+10	(-1.91311329685259e+01dB,1.07617566114331e+02°)
1.62542542542543e+10	(-1.90916666131669e+01dB,1.06566168962174e+02°)
1.63033033033033e+10	(-1.90543775444542e+01dB,1.05515995622540e+02°)
1.63523523523524e+10	(-1.90192610904267e+01dB,1.04467022249753e+02°)
1.64014014014014e+10	(-1.89863136495223e+01dB,1.03419225897098e+02°)
1.64504504504505e+10	(-1.89555326859918e+01dB,1.02372584491776e+02°)
1.64994994994995e+10	(-1.89269167273262e+01dB,1.01327076813050e+02°)
1.65485485485485e+10	(-1.89004653636784e+01dB,1.00282682473486e+02°)
1.65975975975976e+10	(-1.88761792492761e+01dB,9.92393819031421e+01°)
1.66466466466466e+10	(-1.88540601058267e+01dB,9.81971563366639e+01°)
1.66956956956957e+10	(-1.88341107279228e+01dB,9.71559878031847e+01°)
1.67447447447447e+10	(-1.88163349904688e+01dB,9.61158591190106e+01°)
1.67937937937938e+10	(-1.88007378581546e+01dB,9.50767538829775e+01°)
1.68428428428428e+10	(-1.87873253970119e+01dB,9.40386564745353e+01°)
1.68918918918919e+10	(-1.87761047880978e+01dB,9.30015520544925e+01°)
1.69409409409409e+10	(-1.87670843433604e+01dB,9.19654265684094e+01°)
1.69899899899900e+10	(-1.87602735237489e+01dB,9.09302667526951e+01°)
1.70390390390390e+10	(-1.87556829596424e+01dB,8.98960601433876e+01°)
1.70880880880881e+10	(-1.87533244736829e+01dB,8.88627950876882e+01°)
1.71371371371371e+10	(-1.87532111061070e+01dB,8.78304607582809e+01°)
1.71861861861862e+10	(-1.87553571426850e+01dB,8.67990471705256e+01°)
1.72352352352352e+10	(-1.87597781453896e+01dB,8.57685452026078e+01°)
1.72842842842843e+10	(-1.87664909859263e+01dB,8.47389466187233e+01°)
1.73333333333333e+10	(-1.87755138822791e+01dB,8.37102440954628e+01°)
1.73823823823824e+10	(-1.87868664384340e+01dB,8.26824312515064e+01°)
1.74314314314314e+10	(-1.88005696874672e+01dB,8.16555026808069e+01°)
1.74804804804805e+10	(-1.88166461381972e+01dB,8.06294539894437e+01°)
1.75295295295295e+10	(-1.88351198256283e+01dB,7.96042818363714e+01°)
1.75785785785786e+10	(-1.88560163654280e+01dB,7.85799839782936e+01°)
1.76276276276276e+10	(-1.88793630127121e+01dB,7.75565593189514e+01°)
1.76766766766767e+10	(-1.89051887254339e+01dB,7.65340079631175e+01°)
1.77257257257257e+10	(-1.89335242327074e+01dB,7.55123312756703e+01°)
1.77747747747748e+10	(-1.89644021084252e+01dB,7.44915319461073e+01°)
1.78238238238238e+10	(-1.89978568505691e+01dB,7.34716140589722e+01°)
1.78728728728729e+10	(-1.90339249666531e+01dB,7.24525831706510e+01°)
1.79219219219219e+10	(-1.90726450657801e+01dB,7.14344463931421e+01°)
1.79709709709710e+10	(-1.91140579578476e+01dB,7.04172124853454e+01°)
1.80200200200200e+10	(-1.91582067604897e+01dB,6.94008919526696e+01°)
1.80690690690691e+10	(-1.92051370144065e+01dB,6.83854971556385e+01°)
1.81181181181181e+10	(-1.92548968077992e+01dB,6.73710424284645e+01°)
1.81671671671672e+10	(-1.93075369107088e+01dB,6.63575442085187e+01°)
1.82162162162162e+10	(-1.93631109201403e+01dB,6.53450211778714e+01°)
1.82652652652653e+10	(-1.94216754169524e+01dB,6.43334944181162e+01°)
