Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,117133.936,nm
M Cursor Width,13520.219,nm
R Cursor Pos,74261.312,nm
R Cursor Width,-11350.921,nm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,74261.3143759998 nm
R Cursor Width,-11350.9207551545 nm
M Cursor Position,117133.937135132 nm
M Cursor Width,13520.2191906305 nm


Data
Lateral(nm),Height Data(µm),,
5430.59906164044,-0.892867457924245,,
5445.47741523398,-0.893051938326887,,
5460.35576882751,-0.892903384144369,,
5475.23412242105,-0.892340778879818,,
5490.11247601458,-0.891877921959187,,
5504.99082960812,-0.891406926668629,,
5519.86918320165,-0.890961928099037,,
5534.74753679519,-0.891146790708348,,
5549.62589038873,-0.891424062066787,,
5564.50424398226,-0.891455727120241,,
5579.3825975758,-0.891666857292198,,
5594.26095116933,-0.891678906574458,,
5609.13930476287,-0.890783619090019,,
5624.0176583564,-0.890543470189906,,
5638.89601194994,-0.890586105872205,,
5653.77436554347,-0.889907295057844,,
5668.65271913701,-0.889619775849797,,
5683.53107273055,-0.889709385247224,,
5698.40942632408,-0.889015622083398,,
5713.28777991762,-0.888598238940354,,
5728.16613351115,-0.888619801921155,,
5743.04448710469,-0.888805992547496,,
5757.92284069822,-0.88919952970238,,
5772.80119429176,-0.888923230773885,,
5787.67954788529,-0.889437894370517,,
5802.55790147883,-0.890030550007056,,
5817.43625507236,-0.889767621667054,,
5832.3146086659,-0.889815805553986,,
5847.19296225944,-0.890875175937248,,
5862.07131585297,-0.891641966517727,,
5876.94966944651,-0.892047641266118,,
5891.82802304004,-0.892712063865035,,
5906.70637663358,-0.892321980915387,,
5921.58473022711,-0.891172317918208,,
5936.46308382065,-0.890029976906196,,
5951.34143741418,-0.889374905463724,,
5966.21979100772,-0.888418723762437,,
5981.09814460125,-0.887947371995304,,
5995.97649819479,-0.888311909665682,,
6010.85485178833,-0.888334154499919,,
6025.73320538186,-0.888843062366157,,
6040.6115589754,-0.889907611912858,,
6055.48991256893,-0.890448839448432,,
6070.36826616247,-0.891060974699807,,
6085.246619756,-0.891937502174795,,
6100.12497334954,-0.891649903949178,,
6115.00332694307,-0.891361589648702,,
6129.88168053661,-0.891239628607206,,
6144.76003413014,-0.891536033386156,,
6159.63838772368,-0.892706820903385,,
6174.51674131722,-0.893755012680226,,
6189.39509491075,-0.893752620404089,,
6204.27344850429,-0.893438258164022,,
6219.15180209782,-0.892690003106648,,
6234.03015569136,-0.891567885270125,,
6248.90850928489,-0.890712389674834,,
6263.78686287843,-0.889944761881751,,
6278.66521647196,-0.889121374682146,,
6293.5435700655,-0.889069168770217,,
6308.42192365904,-0.888523050560472,,
6323.30027725257,-0.887711868143669,,
6338.17863084611,-0.888618687571854,,
6353.05698443964,-0.889753298417335,,
6367.93533803318,-0.890499346699503,,
6382.81369162671,-0.890942713230911,,
6397.69204522025,-0.891248581747767,,
6412.57039881378,-0.891831588755254,,
6427.44875240732,-0.891910660948989,,
6442.32710600085,-0.891638373436537,,
6457.20545959439,-0.891893963506038,,
6472.08381318792,-0.891910538179671,,
6486.96216678146,-0.891794043934659,,
6501.840520375,-0.891524305127282,,
6516.71887396853,-0.890607532496839,,
6531.59722756207,-0.889555475233003,,
6546.4755811556,-0.889015195568506,,
6561.35393474914,-0.88932367326814,,
6576.23228834267,-0.889508657609526,,
6591.11064193621,-0.889304212243501,,
6605.98899552974,-0.889427758085258,,
6620.86734912328,-0.890129977320549,,
6635.74570271681,-0.890822442776631,,
6650.62405631035,-0.891432682066659,,
6665.50240990389,-0.891793643614113,,
6680.38076349742,-0.891652955233638,,
6695.25911709096,-0.891527065106337,,
6710.13747068449,-0.891383442106951,,
6725.01582427803,-0.891762946960175,,
6739.89417787156,-0.891793739242617,,
6754.7725314651,-0.890686013364089,,
6769.65088505863,-0.889818951289505,,
6784.52923865217,-0.889233173624104,,
6799.40759224571,-0.887901797367721,,
6814.28594583924,-0.885720226995145,,
6829.16429943278,-0.88385624108559,,
6844.04265302631,-0.881766545285942,,
6858.92100661985,-0.880791466691121,,
6873.79936021338,-0.880685410722078,,
6888.67771380692,-0.881424541822248,,
6903.55606740045,-0.882743038271862,,
6918.43442099399,-0.884051957126104,,
6933.31277458752,-0.885627346290295,,
6948.19112818106,-0.887128501985139,,
6963.06948177459,-0.887306926362727,,
6977.94783536813,-0.887640332379215,,
6992.82618896167,-0.888903863646942,,
7007.7045425552,-0.889026506443463,,
7022.58289614874,-0.888415024073823,,
7037.46124974227,-0.887738511608938,,
7052.33960333581,-0.88680684359357,,
7067.21795692934,-0.886615057824655,,
7082.09631052288,-0.886754169699587,,
7096.97466411641,-0.887322361604938,,
7111.85301770995,-0.887952488928729,,
