"Freq [GHz]","dB(St(1,1)) [] - g='14.5um'","dB(St(1,1)) [] - g='16.5um'","dB(St(1,1)) [] - g='17.5um'","dB(St(1,1)) [] - g='18.5um'","dB(St(1,1)) [] - g='19.5um'","dB(St(1,1)) [] - g='20.5um'","dB(St(1,1)) [] - g='21.5um'","dB(St(1,1)) [] - g='22.5um'","dB(St(1,1)) [] - g='23.5um'","dB(St(1,1)) [] - g='25.5um'"
3,-31.5999553418783,-31.8539696596983,-30.4843324083382,-32.8783595644272,-31.5987076477717,-28.9031973479202,-31.2733089808659,-32.695403597317,-29.743747471512,-31.8995821706366
3.1,-31.3338935889059,-31.5908712869944,-30.2184995721394,-32.6270898379425,-31.337231277581,-28.6369915709691,-31.0086193446001,-32.4385167123853,-29.4819357448236,-31.6374284057329
3.2,-31.077549449225,-31.3370126723454,-29.9622396621167,-32.3848426620844,-31.085238299501,-28.3803518955722,-30.7534400395965,-32.190815789491,-29.2295616005824,-31.384807862561
3.3,-30.8303862238858,-31.0918755560975,-29.7149879651939,-32.1510602308213,-30.8421472406169,-28.1326879415814,-30.5072026045322,-31.9517376713134,-28.9860542065428,-31.1411518136183
3.4,-30.5919215539222,-30.8549855310904,-29.4762295262846,-31.9252374741407,-30.6074303047201,-27.8934632097274,-30.269388798945,-31.7207713701678,-28.7508937701296,-30.9059413891952
3.5,-30.3617614335732,-30.6259435797501,-29.2455305794914,-31.706950530609,-30.3806436258459,-27.6622255736372,-30.039561673739,-31.4974873906479,-28.5236421730987,-30.6787388200235
3.6,-30.1395146027499,-30.4043439514873,-29.0224534752071,-31.4957764507246,-30.1613430183503,-27.4385224474983,-29.8172812071091,-31.2814561122318,-28.30385931858,-30.4591029211092
3.7,-29.9247994835371,-30.1897800699869,-28.806562686779,-31.2912984666047,-29.9490897406669,-27.2219067599409,-29.602110366216,-31.0722533376778,-28.0911091342786,-30.2465952350616
3.8,-29.7173178416191,-29.9819116024406,-28.5974929053279,-31.0931688232108,-29.7435168529464,-27.0120037546726,-29.393682446091,-30.8695245581232,-27.8850260814321,-30.0408476091146
3.9,-29.5168145972207,-29.7804234418888,-28.3949065716451,-30.9010685690618,-29.5442870825243,-26.8084685916373,-29.1916589495945,-30.6729441081784,-27.6852733562818,-29.8415200104955
4,-29.323079670348,-29.5850232594068,-28.198491083705,-30.7147045047712,-29.3510897680308,-26.6109833024798,-28.9957267847225,-30.4822121775324,-27.491540030108,-29.6482977572392
4.1,-29.1359517518812,-29.3954393375657,-28.0079563500435,-30.5338065106241,-29.1636381796696,-26.4192541205906,-28.8055958052722,-30.2970521881576,-27.3035385343587,-29.4608890879775
4.2,-28.9553245017087,-29.2114186457244,-27.8230326390955,-30.3581252000409,-28.981667161868,-26.2330091315344,-28.6209966451969,-30.1172084859328,-27.1210024416421,-29.2790230216711
4.3,-28.7811558221081,-29.0327251233957,-27.6434686827759,-30.1874298541041,-28.8049310533112,-26.0519961986689,-28.4416788051751,-29.9424443036201,-26.9436845014492,-29.1024474663055
4.4,-28.6134809332593,-28.8591381425799,-27.4690299992805,-30.0215065991875,-28.6332018465597,-25.8759811260937,-28.2674089565985,-29.7725399588026,-26.7713548960787,-28.9309275421572
4.5,-28.4524297814521,-28.6904511237409,-27.2994974055704,-29.8601567954288,-28.4662675553352,-25.7047460270627,-28.0979694336751,-29.6072912558893,-26.6037996876408,-28.7642440906443
4.6,-28.2982482953492,-28.5264702831744,-27.1346656945329,-29.70319560853,-28.3039307624125,-25.5380878709204,-27.9331568888615,-29.446508065865,-26.4408194314761,-28.6021923442361
4.7,-28.1513198181696,-28.3670134919762,-26.9743424555619,-29.5504507413472,-28.1460073250731,-25.3758171856894,-27.7727810905815,-29.2900130612744,-26.2822279350079,-28.4445807365987
4.8,-28.0121744901441,-28.2119092287851,-26.8183470204199,-29.4017613050699,-27.9923252184219,-25.2177568968118,-27.6166638453025,-29.1376405871228,-26.1278511441093,-28.291229835226
4.9,-27.8814534927246,-28.0609956100259,-26.6665095188508,-29.2569768126144,-27.8427234996648,-25.0637412853596,-27.4646380286375,-28.9892356510653,-25.9775261416223,-28.1419713813831
5,-27.7597492696685,-27.914119482623,-26.5186700305996,-29.1159562792384,-27.6970513787957,-24.9136150513806,-27.3165467123176,-28.8446530185269,-25.8311002448079,-27.9966474243437
5.1,-27.6471599174842,-27.7711355652104,-26.3746778223348,-28.9785674174185,-27.5551673831236,-24.7672324700255,-27.1722423757105,-28.703756400328,-25.6884301903099,-27.8551095387187
5.2,-27.5423126730397,-27.6319056248851,-26.234390659525,-28.8446859147569,-27.416938604748,-24.6244566297687,-27.0315861921088,-28.5664177220238,-25.5493813967356,-27.7172181152097
