"Freq [GHz]","re(Zo(1)) [] - s='18um'","re(Zo(1)) [] - s='19um'","re(Zo(1)) [] - s='20um'","re(Zo(1)) [] - s='22um'","re(Zo(1)) [] - s='23.5um'","re(Zo(1)) [] - s='24.5um'","re(Zo(1)) [] - s='25.5um'","re(Zo(1)) [] - s='26.5um'"
6.9,51.3959305189036,50.491859541438,49.9979606993643,48.6650826289679,47.8876237979803,47.0792472976499,46.8403633925137,46.2373999763669
7,51.3879574886811,50.4845287123141,49.9895676978719,48.6571686012224,47.8794769118909,47.0714294632984,46.8340899927178,46.2299916154903
7.1,51.3801715373665,50.4773994068569,49.9813768429408,48.6494487957708,47.8715321033928,47.0638033001707,46.8279747992563,46.2227574039236
7.2,51.3725660951793,50.4704616267638,49.973381030172,48.6419161587857,47.8637819980511,47.0563617083354,46.822010031082,46.2156912665084
7.3,51.3651348610635,50.4637059777303,49.9655734359358,48.6345639248625,47.8562195208697,47.0490978830116,46.8161883892839,46.2087873679626
7.4,51.3578717879077,50.4571236270653,49.9579475036415,48.6273856028767,47.8488378821845,47.0420053000786,46.8105030225399,46.2020401010703
7.5,51.3507710690102,50.4507062646417,49.9504969310022,48.6203749628072,47.8416305644473,47.0350777025479,46.8049474953236,46.1954440757432
7.6,51.3438271256423,50.4444460668927,49.9432156581858,48.6135260234258,47.8345913098146,47.0283090879003,46.7995157586265,46.1889941088571
7.7,51.337034595585,50.4383356635952,49.9360978567555,48.6068330407672,47.8277141084647,47.0216936962077,46.7942021229748,46.1826852147781
7.8,51.3303883225299,50.4323681072022,49.9291379193193,48.6002904973039,47.820993187579,47.0152259989653,46.7890012335462,46.1765125965045
7.9,51.32388334625,50.4265368445121,49.9223304498169,48.5938930917613,47.8144230009299,47.0089006885731,46.7839080472069,46.1704716373649
8,51.3175148934579,50.4208356904768,49.9156702543824,48.5876357295175,47.8079982190269,47.0027126684116,46.7789178113053,46.1645578932143
8.1,51.3112783692817,50.4152588039731,49.9091523327309,48.5815135135366,47.8017137197761,46.9966570434635,46.774026044078,46.158767085084
8.2,51.3051693492946,50.4098006653754,49.9027718700209,48.5755217357934,47.7955645796159,46.9907291114378,46.7692285165303,46.1530950922428
8.3,51.2991835720452,50.404456055782,49.8965242291534,48.5696558691504,47.7895460650942,46.9849243543609,46.7645212356731,46.1475379456343
8.4,51.2933169320414,50.3992200377615,49.8904049434711,48.5639115596539,47.7836536248578,46.9792384305987,46.7599004290024,46.1420918216584
8.5,51.2875654731447,50.3940879374959,49.8844097098276,48.5582846192183,47.7778828820259,46.9736671672815,46.7553625301219,46.1367530362705
8.6,51.2819253823404,50.3890553282101,49.8785343819977,48.5527710186719,47.7722296269242,46.968206553104,46.7509041654169,46.1315180393732
8.7,51.2763929838505,50.384118014785,49.8727749644054,48.5473668811411,47.7666898101579,46.962852731477,46.7465221416932,46.1263834094794
8.8,51.2709647335607,50.3792720194601,49.8671276061474,48.5420684757493,47.7612595360028,46.9576019940071,46.7422134347074,46.121345848628
8.9,51.2656372137372,50.3745135685425,49.8615885952922,48.5368722116134,47.7559350560975,46.9524507742873,46.7379751785159,46.1164021775348
9,51.2604071280106,50.369839080042,49.8561543534384,48.5317746321177,47.7507127634195,46.9473956419771,46.7338046555798,46.1115493309644
9.1,51.2552712966068,50.3652451521621,49.8508214305155,48.5267724094511,47.7455891865298,46.9424332971587,46.7296992875664,46.1067843533072
9.2,51.250226651808,50.3607285525814,49.8455864998131,48.521862339391,47.7405609840728,46.9375605649517,46.7256566267943,46.1021043943525
9.3,51.2452702336265,50.3562862084642,49.8404463532267,48.5170413363218,47.7356249395178,46.9327743903726,46.7216743482717,46.0975067052431
9.4,51.2403991856796,50.3519151971472,49.8353978967055,48.5123064284745,47.7307779561298,46.9280718334273,46.7177502422844,46.0929886346038
9.5,51.2356107512492,50.3476127374497,49.8304381458955,48.5076547533759,47.7260170521594,46.9234500644229,46.7138822074898,46.0885476248331
9.6,51.2309022695183,50.3433761815621,49.8255642219635,48.5030835534974,47.7213393562398,46.9189063594889,46.7100682444817,46.0841812085503
9.7,51.226271171971,50.3392030074696,49.820773347596,48.4985901720922,47.7167421029823,46.914438096296,46.7063064497881,46.0798870051894
9.8,51.2217149789476,50.335090811872,49.8160628431637,48.4941720492126,47.7122226287603,46.9100427499635,46.7025950102718,46.0756627177332
9.9,51.2172312963465,50.3310373035631,49.8114301230421,48.4898267178981,47.7077783676729,46.9057178891463,46.698932197904,46.0715061295807
10,51.2128178124637,50.3270402972367,49.8068726920831,48.4855518005266,47.7034068476804,46.9014611722916,46.6953163648824,46.0674151015409
