"Freq [GHz]","lost_power_fraction [] - g='14.5um'","lost_power_fraction [] - g='16.5um'","lost_power_fraction [] - g='17.5um'","lost_power_fraction [] - g='18.5um'","lost_power_fraction [] - g='19.5um'","lost_power_fraction [] - g='20.5um'","lost_power_fraction [] - g='21.5um'","lost_power_fraction [] - g='22.5um'","lost_power_fraction [] - g='23.5um'","lost_power_fraction [] - g='25.5um'"
21.9,0.0747656086879234,0.0682299321322958,0.0668194710893273,0.0648868769676774,0.0630348557717395,0.0621530064855175,0.060768686575212,0.060482584359563,0.06054504991805,0.0588718966441112
22,0.0749651555098012,0.0684099811290452,0.0670127655699284,0.0650516539458096,0.0632122834127408,0.0623279943668462,0.0609345082532266,0.0606478708992819,0.0607148738842926,0.0590278656593196
22.1,0.0751640915639112,0.068589589232124,0.0672060080828777,0.0652155748267692,0.0633896043482228,0.0625030915730735,0.0611001594240431,0.0608129814333978,0.0608844245386159,0.059183436730284
22.2,0.075362379151337,0.0687687373485362,0.0673991922941089,0.0653785908703097,0.0635668160877001,0.0626783243166376,0.0612656413098257,0.0609779182812363,0.0610536992479167,0.0593386115105229
22.3,0.0755599763033069,0.0689474040522792,0.0675923118747852,0.0655406482522717,0.0637439161827492,0.0628537232089818,0.0614309553970116,0.0611426839470663,0.0612226956985737,0.059493392092707
22.4,0.0757568360759058,0.0691255651804972,0.067785360501251,0.0657016873278989,0.0639209022256596,0.0630293240579035,0.0615961034380551,0.0613072811176843,0.0613914119019949,0.0596477810187634
22.5,0.0759529057167763,0.0693031933633111,0.0679783318548998,0.0658616417747551,0.0640977718480196,0.0632051688510864,0.0617610874531214,0.0614717126598584,0.0615598462000139,0.0598017812900608
22.6,0.0761481256774744,0.0694802574769135,0.0681712196219182,0.0660204375931046,0.064274522719249,0.0633813069775601,0.0619259097317394,0.0616359816176353,0.0617279972701347,0.0599553963776517
22.7,0.0763424284392721,0.0696567220085436,0.0683640174929258,0.0661779919373122,0.0644511525450827,0.0635577967554554,0.0620905728344086,0.0618000912095173,0.0618958641306377,0.060108630232592
22.8,0.0765357371129086,0.0698325463215797,0.0685567191624892,0.0663342117466846,0.0646276590659997,0.0637347073572763,0.0622550795941752,0.0619640448255005,0.0620634461455209,0.0602614872963098
22.9,0.0767279637639371,0.0700076838095017,0.0687493183285058,0.0664889921382786,0.0648040400556144,0.0639121212553688,0.0624194331181682,0.0621278460239805,0.0622307430293068,0.0604139725110381
23,0.07691900740449,0.0701820809298399,0.0689418086914505,0.0666422145174034,0.0649802933190071,0.0640901373543217,0.0625836367891122,0.0622914985285268,0.062397754851694,0.0605660913302966
