"Freq [GHz]","dB(St(1,1)) [] - g_pillar_position='49.5um'","dB(St(1,1)) [] - g_pillar_position='62um'","dB(St(1,1)) [] - g_pillar_position='74.5um'","dB(St(1,1)) [] - g_pillar_position='87um'","dB(St(1,1)) [] - g_pillar_position='99.5um'","dB(St(1,1)) [] - g_pillar_position='112um'","dB(St(1,1)) [] - g_pillar_position='124.5um'","dB(St(1,1)) [] - g_pillar_position='137um'","dB(St(1,1)) [] - g_pillar_position='149.5um'","dB(St(1,1)) [] - g_pillar_position='162um'","dB(St(1,1)) [] - g_pillar_position='174.5um'","dB(St(1,1)) [] - g_pillar_position='187um'","dB(St(1,1)) [] - g_pillar_position='199.5um'"
3.1,-31.3155822951409,-31.9777262120629,-31.4214086496233,-32.6921682989325,-32.2576779346972,-31.1431292415223,-33.0891450229517,-31.4958362356607,-31.5565045573512,-31.2421567639424,-32.9693949855515,-33.3741393102935,-33.4166027431524
3.2,-31.0621120153017,-31.7569623250873,-31.175052151492,-32.455311039449,-32.0248819645472,-30.902966487456,-32.8570416722461,-31.2432643323524,-31.3370177303965,-30.9943746011104,-32.758856452378,-33.1363872824557,-33.1909439672731
3.3,-30.8156920030126,-31.5408573042496,-30.9357700968462,-32.2243562867983,-31.7977174666969,-30.6690067689887,-32.6307796314057,-30.9978442706962,-31.122406179725,-30.7536166871249,-32.5526811782502,-32.9048114410635,-32.9704093558292
3.4,-30.5760121795733,-31.3293234466922,-30.7032333558071,-31.999095702358,-31.5760062776284,-30.4410236812713,-32.4101336101857,-30.759263656005,-30.9125520355616,-30.5195709505136,-32.3507727501926,-32.6791894121445,-32.7548668158006
3.5,-30.3428092958764,-31.1222865299227,-30.4771605103516,-31.7793524578223,-31.3595963794007,-30.2188242903447,-32.1949113810567,-30.527255847859,-30.7073556813574,-30.2919713456112,-32.1530509117229,-32.4593295409066,-32.544203792475
3.6,-30.1158021414901,-30.9196438316518,-30.2572532074213,-31.5649273705073,-31.1483109107771,-30.0021927551799,-31.984900604403,-30.3015347142383,-30.5066915798587,-30.0705336065149,-31.9594117327,-32.2450153530514,-32.3382810504336
3.7,-29.8946975376042,-30.7212685452663,-30.0432026072198,-31.3556041309166,-30.9419534682174,-29.7908960301117,-31.7798742007147,-30.0818011298744,-30.3104127234454,-29.8549615029035,-31.7697312937574,-32.0360118035928,-32.1369375671219
3.8,-29.6792485272109,-30.5270537924622,-29.8347472073878,-31.1512004555989,-30.7403580116542,-29.584737394021,-31.5796402318638,-29.8678023245403,-30.1183954089004,-29.6450048219823,-31.5839060075319,-31.8321190236123,-31.9400373405338
3.9,-29.4692220482996,-30.3368919117766,-29.6316405870803,-30.9515413114063,-30.5433635445091,-29.3835283756185,-31.384015457796,-29.6592992941972,-29.93051737428,-29.4404272841751,-31.4018329398472,-31.6331446711972,-31.7474464879593
4,-29.2643981667611,-30.150675420764,-29.4336506311608,-30.7564589186438,-30.3508144547329,-29.1870887346049,-31.1928252277646,-29.4560661837586,-29.746658442592,-29.2410058400027,-31.2234103855553,-31.4389041640884,-31.5590339090241
