"Freq [GHz]","lost_power_fraction [] - g_pillar_position='49.5um'","lost_power_fraction [] - g_pillar_position='62um'","lost_power_fraction [] - g_pillar_position='74.5um'","lost_power_fraction [] - g_pillar_position='87um'","lost_power_fraction [] - g_pillar_position='99.5um'","lost_power_fraction [] - g_pillar_position='112um'","lost_power_fraction [] - g_pillar_position='124.5um'","lost_power_fraction [] - g_pillar_position='137um'","lost_power_fraction [] - g_pillar_position='149.5um'","lost_power_fraction [] - g_pillar_position='162um'","lost_power_fraction [] - g_pillar_position='174.5um'","lost_power_fraction [] - g_pillar_position='187um'","lost_power_fraction [] - g_pillar_position='199.5um'"
33.1,0.0806721363482222,0.0790900704888749,0.0800259782714369,0.0782924528029267,0.0782858720493706,0.0816876095704508,0.080205622067897,0.0821699778803581,0.0805369045176236,0.0826213541543048,0.0800336894663063,0.080677789698248,0.0807140357213891
33.2,0.0808182537120701,0.0792481704553572,0.0801797608865462,0.0784418510066452,0.0784325733046941,0.0818421880432066,0.0803363364403531,0.0823270760928409,0.0806922150238672,0.0827672551403937,0.0801739837341644,0.0808169406600957,0.0808617380634351
33.3,0.0809643358906176,0.0794061239752221,0.0803338480942206,0.0785914090747924,0.0785794506843485,0.0819957689178172,0.0804665943906056,0.0824846236365493,0.0808480134439225,0.0829133087841038,0.0803151627801948,0.0809567826299378,0.0810094559176784
33.4,0.0811103305140599,0.0795638686645258,0.080488190330056,0.0787410647372932,0.0787264494081185,0.0821482508750057,0.0805963862768331,0.0826425464824624,0.0810042364841917,0.0830594865430655,0.0804572155356919,0.0810972996859177,0.0811571306175941
33.5,0.0812561840321423,0.0797213441666013,0.0806427354517186,0.0788907544969486,0.0788735129783918,0.0822996116758756,0.0807257020940906,0.0828007704960383,0.0811608150051941,0.0832057577159872,0.0806001264261843,0.0812384719024678,0.0813047024920929
33.6,0.0814018418798965,0.0798784922468595,0.0807974288407717,0.0790404137789702,0.0790205833719952,0.0824499177669807,0.0808545314790253,0.0829592213402083,0.0813176741326119,0.0833520894445481,0.0807438751821084,0.0813802752172211,0.0814521110184462
33.7,0.0815472486469305,0.0800352567435596,0.080952213516296,0.0791899770917648,0.0791676012389639,0.0825993186303581,0.0809828637151103,0.0831178243317766,0.081474733422529,0.0834984467224044,0.0808884366648403,0.081522681313194,0.0815992949734181
33.8,0.0816923482492922,0.080191583385819,0.081107030260025,0.0793393781968291,0.0793145061067379,0.0827480250041759,0.0811106877384049,0.083276504298041,0.0816319070827808,0.083644792411671,0.081033780711122,0.0816656575186308,0.0817461925831724
33.9,0.0818370841029158,0.0803474195004124,0.0812618177526571,0.0794885502857531,0.0794612365881973,0.082896275375815,0.0812379921438475,0.0834351854585175,0.0817891042516587,0.0837910872672996,0.0811798719989343,0.0818091667268809,0.0818927416725207
34,0.0819813992976731,0.0805027136372891,0.0814165127208872,0.0796374261624828,0.0796077305919793,0.0830442990505432,0.0813647651920706,0.0835937913434495,0.081946229334267,0.0839372899696833,0.0813266699380036,0.0819531673387046,0.0820388798140747
