Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,7173.273,nm
M Cursor Width,12745.784,nm
R Cursor Pos,63047.024,nm
R Cursor Width,-1755.976,nm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,63047.0262115765 nm
R Cursor Width,-1755.97624104493 nm
M Cursor Position,7173.27339111467 nm
M Cursor Width,12745.7839808445 nm


Data
Lateral(nm),Height Data(µm),,
2099.6500576881,-0.00951733434707276,,
2109.64839129614,-0.00905369789857068,,
2119.64672490418,-0.00834647034352529,,
2129.64505851221,-0.00835841948084999,,
2139.64339212025,-0.00900246415920556,,
2149.64172572829,-0.00867921436390607,,
2159.64005933633,-0.00904706993005239,,
2169.63839294437,-0.00930892237122171,,
2179.63672655241,-0.00888199714946677,,
2189.63506016045,-0.00904267320179497,,
2199.63339376848,-0.00886685270880698,,
2209.63172737652,-0.00805941922359634,,
2219.63006098456,-0.00781265692722518,,
2229.6283945926,-0.00765015334574855,,
2239.62672820064,-0.00706749402786372,,
2249.62506180868,-0.00662204624193255,,
2259.62339541672,-0.00663767004216206,,
2269.62172902475,-0.00689586347795557,,
2279.62006263279,-0.00727264047188219,,
2289.61839624083,-0.00748923717976431,,
2299.61672984887,-0.00804798659814405,,
2309.61506345691,-0.00826929015932838,,
2319.61339706495,-0.00824556963911746,,
2329.61173067299,-0.00875525335851707,,
2339.61006428102,-0.00874273731004796,,
2349.60839788906,-0.00870619863866014,,
2359.6067314971,-0.0090468820615497,,
2369.60506510514,-0.00884328069093754,,
2379.60339871318,-0.0088668440377689,,
2389.60173232122,-0.0092619011505798,,
2399.60006592926,-0.00896645745699061,,
2409.59839953729,-0.00848344609497581,,
2419.59673314533,-0.00875882876983378,,
2429.59506675337,-0.00876347908483585,,
2439.59340036141,-0.00820932606678107,,
2449.59173396945,-0.00841226404724293,,
2459.59006757749,-0.00834213212057366,,
2469.58840118553,-0.00824226418915787,,
2479.58673479356,-0.00785159445145982,,
2489.5850684016,-0.00784482864046586,,
2499.58340200964,-0.00746816074300441,,
2509.58173561768,-0.007401733380527,,
2519.58006922572,-0.00808519778617192,,
2529.57840283376,-0.00834547329896013,,
2539.5767364418,-0.00801191248052055,,
2549.57507004983,-0.00851800988286268,,
