Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,345503.136,nm
M Cursor Width,14164.591,nm
R Cursor Pos,2719580.928,nm
R Cursor Width,-13738.082,nm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,2719580.91787082 nm
R Cursor Width,-13738.0820618963 nm
M Cursor Position,345503.126806753 nm
M Cursor Width,14164.5906582221 nm


Data
Lateral(nm),Height Data(nm),,
21318.556263382,113.030628176135,,
21476.4714949626,111.599722591097,,
21634.3867265432,109.922323490842,,
21792.3019581239,109.706160852296,,
21950.2171897045,110.258641997461,,
22108.1324212851,111.287858969194,,
22266.0476528657,111.159093244473,,
22423.9628844463,110.706537025921,,
22581.8781160269,111.8765914309,,
22739.7933476075,114.14248700084,,
22897.7085791881,115.358903228457,,
23055.6238107687,113.890178354437,,
23213.5390423493,110.946929083742,,
23371.4542739299,108.226596846209,,
23529.3695055105,107.124069163301,,
23687.2847370911,107.571533887333,,
23845.1999686718,109.153034724826,,
24003.1152002524,109.842779209011,,
24161.030431833,109.284996627121,,
24318.9456634136,108.030027679528,,
24476.8608949942,108.482393834663,,
24634.7761265748,109.637517367441,,
24792.6913581554,110.450944989179,,
24950.606589736,111.000639599717,,
25108.5218213166,111.838061599296,,
25266.4370528972,112.616500992634,,
25424.3522844778,113.314776393232,,
25582.2675160584,113.984754525434,,
25740.182747639,114.424801903495,,
25898.0979792197,113.77806190041,,
26056.0132108003,111.275787026325,,
26213.9284423809,109.346711814839,,
26371.8436739615,108.914139601591,,
26529.7589055421,109.423262583579,,
26687.6741371227,110.631412610001,,
26845.5893687033,111.409248626901,,
27003.5046002839,111.50961143094,,
27161.4198318645,110.352221588777,,
27319.3350634451,109.38966817218,,
27477.2502950257,111.159942105623,,
27635.1655266063,113.670785939675,,
27793.0807581869,115.429348891648,,
27950.9959897676,115.077806285322,,
28108.9112213482,114.183912540202,,
28266.8264529288,113.779528198272,,
28424.7416845094,113.647032282106,,
28582.65691609,114.509606711559,,
28740.5721476706,115.409585242793,,
28898.4873792512,114.838102528767,,
29056.4026108318,113.342050136565,,
29214.3178424124,112.6340174306,,
29372.233073993,114.104110332358,,
29530.1483055736,115.127971637926,,
29688.0635371542,113.525142205766,,
29845.9787687348,110.551229197441,,
30003.8940003155,108.721944626226,,
30161.8092318961,108.980609716848,,
30319.7244634767,111.424128173151,,
30477.6396950573,115.089141729903,,
30635.5549266379,117.651416545208,,
30793.4701582185,117.537498487582,,
30951.3853897991,114.338083203838,,
31109.3006213797,112.044874808555,,
31267.2158529603,111.101726500589,,
31425.1310845409,111.297734067068,,
31583.0463161215,111.281798215063,,
31740.9615477021,110.240533822637,,
31898.8767792827,109.122485975189,,
32056.7920108634,107.99499760301,,
32214.707242444,107.442476141486,,
32372.6224740246,108.730754803579,,
32530.5377056052,110.175621817785,,
32688.4529371858,110.675801826323,,
32846.3681687664,110.470234554435,,
33004.283400347,111.324480891728,,
33162.1986319276,113.324392409225,,
33320.1138635082,114.972597817786,,
33478.0290950888,115.925103295603,,
33635.9443266694,115.25394443433,,
33793.85955825,112.667892612521,,
33951.7747898306,110.587389333649,,
34109.6900214112,110.992158533991,,
34267.6052529919,113.97808977265,,
34425.5204845725,115.829387656593,,
34583.4357161531,114.260686314233,,
34741.3509477337,110.719982699522,,
34899.2661793143,108.511179007863,,
35057.1814108949,108.820925729439,,
35215.0966424755,111.339965727334,,
35373.0118740561,114.22736165938,,
35530.9271056367,115.283248240778,,
35688.8423372173,114.071891729468,,
35846.7575687979,111.93089675312,,
36004.6728003785,112.105740626055,,
36162.5880319592,113.647501154517,,
36320.5032635398,113.942147760234,,
36478.4184951204,112.574239352443,,
36636.333726701,111.082313126478,,
36794.2489582816,111.053085241363,,
36952.1641898622,111.8388477013,,
37110.0794214428,114.209092289514,,
37267.9946530234,116.240228647395,,
37425.909884604,115.588533171819,,
37583.8251161846,111.958170004146,,
37741.7403477652,109.417453599387,,
37899.6555793458,109.129086524012,,
38057.5708109264,111.279392020958,,
38215.4860425071,113.051149142942,,
38373.4012740877,113.394845713003,,
38531.3165056683,112.312125666157,,
38689.2317372489,110.187202870708,,
38847.1469688295,109.273930255018,,
39005.0622004101,111.258693473985,,
39162.9774319907,114.447102846943,,
39320.8926635713,115.683410111701,,
39478.8078951519,114.583239554839,,
39636.7231267325,113.564445520088,,
39794.6383583131,114.283061395922,,
39952.5535898937,116.107462385443,,
40110.4688214743,117.810608127262,,
40268.384053055,117.800681539938,,
40426.2992846356,115.53660152336,,
40584.2145162162,113.106499048156,,
40742.1297477968,111.907093837686,,
40900.0449793774,113.43154330601,,
41057.960210958,115.295200570197,,
41215.8754425386,115.143614938068,,
41373.7906741192,112.451385807323,,
41531.7059056998,110.7754725648,,
41689.6211372804,111.809527229455,,
41847.536368861,115.320641273216,,
42005.4516004416,118.580513398969,,
42163.3668320222,119.378576860086,,
42321.2820636028,117.192620609578,,
42479.1972951835,113.614318072697,,
42637.1125267641,112.3030448933,,
42795.0277583447,113.555421595325,,
