"Freq [GHz]","dB(St(2,1)) [] - gpillar_r='1um'","dB(St(2,1)) [] - gpillar_r='3um'","dB(St(2,1)) [] - gpillar_r='5um'","dB(St(2,1)) [] - gpillar_r='7um'","dB(St(2,1)) [] - gpillar_r='9um'","dB(St(2,1)) [] - gpillar_r='10um'"
25.5,-0.296559453023062,-0.275968600368081,-0.2751674980151,-0.290623616410206,-0.294659182653583,-0.279601163500463
25.6,-0.297505954439557,-0.276895370689492,-0.27610420726476,-0.291642152925675,-0.295702743897667,-0.280578897970857
25.7,-0.298448681681001,-0.277818830170739,-0.277037810061981,-0.292657305449676,-0.296742751872644,-0.281553481076773
25.8,-0.299387577353893,-0.278738923588769,-0.277968250515182,-0.293669009726949,-0.297779141790797,-0.282524855011437
25.9,-0.300322584381361,-0.279655595981195,-0.278895473026855,-0.294677201933686,-0.298811849235876,-0.283492962238103
26,-0.301253646015354,-0.280568792658359,-0.279819422302357,-0.29568181868266,-0.299840810171199,-0.284457745500117
26.1,-0.302180705848774,-0.281478459215291,-0.280740043358634,-0.296682797028624,-0.30086596094783,-0.285419147830838
26.2,-0.303103707827401,-0.282384541543442,-0.281657281532998,-0.297680074473895,-0.301887238312812,-0.286377112563517
26.3,-0.304022596261695,-0.28328698584231,-0.28257108249186,-0.298673588974094,-0.302904579417408,-0.287331583341069
26.4,-0.304937315838476,-0.284185738630874,-0.283481392239417,-0.299663278944141,-0.303917921825432,-0.288282504125759
26.5,-0.305847811632487,-0.285080746758936,-0.284388157126425,-0.300649083264318,-0.304927203521579,-0.289229819208885
26.6,-0.30675402911784,-0.285971957418291,-0.285291323858875,-0.301630941286573,-0.305932362919817,-0.290173473220323
26.7,-0.307655914179358,-0.286859318153804,-0.286190839506732,-0.302608792840929,-0.306933338871823,-0.291113411138054
26.8,-0.308553413123842,-0.287742776874409,-0.287086651512632,-0.303582578242044,-0.307930070675425,-0.292049578297679
26.9,-0.309446472691225,-0.288622281863944,-0.287978707700602,-0.30455223829589,-0.308922498083102,-0.292981920401812
27,-0.310335040065703,-0.28949778179196,-0.288866956284755,-0.305517714306591,-0.309910561310525,-0.293910383529508
27.1,-0.31121906288669,-0.290369225724384,-0.289751345878024,-0.306478948083334,-0.31089420104508,-0.29483491414561
27.2,-0.312098489259825,-0.291236563134156,-0.290631825500833,-0.307435881947406,-0.311873358454474,-0.295755459110068
27.3,-0.312973267767843,-0.292099743911745,-0.291508344589856,-0.308388458739357,-0.312847975195342,-0.296671965687267
27.4,-0.313843347481389,-0.292958718375634,-0.29238085300669,-0.309336621826208,-0.313817993421866,-0.297584381555275
27.5,-0.314708677969822,-0.293813437282704,-0.293249301046602,-0.310280315108805,-0.314783355794442,-0.298492654815101
27.6,-0.315569209311934,-0.294663851838572,-0.2941136394472,-0.311219483029229,-0.315744005488357,-0.299396733999942
27.7,-0.31642489210663,-0.295509913707915,-0.294973819397214,-0.312154070578255,-0.316699886202473,-0.300296568084363
27.8,-0.317275677483549,-0.296351575024623,-0.295829792545139,-0.31308402330296,-0.317650942167955,-0.30119210649351
27.9,-0.318121517113696,-0.297188788402051,-0.296681511008021,-0.314009287314344,-0.318597118156987,-0.302083299112284
28,-0.318962338510327,-0.298021484681982,-0.297528906061302,-0.314929785791046,-0.319538335036566,-0.302970074507062
28.1,-0.319798093786006,-0.29884961680507,-0.298371930115583,-0.315845465242825,-0.320474537914721,-0.30385238280755
28.2,-0.320628760798228,-0.299673160936248,-0.29921055785327,-0.316756296786058,-0.321405697450248,-0.304730196897877
28.3,-0.321454293505496,-0.30049207172242,-0.300044743367198,-0.317662228882042,-0.322331760683518,-0.305603468607774
28.4,-0.322274646460559,-0.301306304340457,-0.300874441262622,-0.318563210595272,-0.323252675240057,-0.306472150272706
28.5,-0.323089774820753,-0.302115814507136,-0.301699606665952,-0.319459191601472,-0.324168389339314,-0.307336194743009
28.6,-0.323899634358397,-0.302920558488971,-0.302520195233449,-0.320350122195513,-0.325078851803454,-0.308195555392956
28.7,-0.324704181471145,-0.303720493112067,-0.303336163159912,-0.321235953299449,-0.325984012066141,-0.30905018612983
28.8,-0.325503373192263,-0.304515575771912,-0.304147467187385,-0.322116636470591,-0.326883820181307,-0.309900041402987
28.9,-0.326297167200977,-0.305305764443105,-0.304954064613858,-0.322992123909531,-0.327778226831921,-0.310745076212901
29,-0.32708552183268,-0.306091017689101,-0.305755913301924,-0.323862368468295,-0.328667183338801,-0.311585246120188
29.1,-0.327868396089205,-0.306871294671858,-0.306552971687456,-0.324727323658401,-0.329550641669333,-0.31242050725465
29.2,-0.328645749649022,-0.307646555161507,-0.307345198788279,-0.325586943659029,-0.330428554446233,-0.313250816324248
29.3,-0.329417542877417,-0.308416759545902,-0.308132554212789,-0.326441183325121,-0.3313008749563,-0.314076130624121
29.4,-0.330183736836645,-0.309181868840239,-0.308914998168612,-0.327289998195567,-0.332167557159137,-0.314896408045546
29.5,-0.330944293296061,-0.309941844696535,-0.309692491471194,-0.32813334450133,-0.333028555695847,-0.315711607084886
29.6,-0.331699174742201,-0.310696649413108,-0.310464995552427,-0.328971179173603,-0.33388382589775,-0.316521686852538
29.7,-0.33244834438887,-0.311446245944036,-0.311232472469204,-0.329803459851953,-0.33473332379503,-0.317326607081845
29.8,-0.333191766187146,-0.31219059790854,-0.311994884911996,-0.330630144892477,-0.335577006125389,-0.318126328138003
29.9,-0.333929404835404,-0.312929669600327,-0.312752196213377,-0.331451193375931,-0.336414830342675,-0.318920811026905
30,-0.334661225789253,-0.313663425996896,-0.313504370356551,-0.332266565115841,-0.337246754625482,-0.319710017404013
30.1,-0.335387195271486,-0.31439183276883,-0.314251371983803,-0.333076220666633,-0.338072737885702,-0.320493909583175
30.2,-0.336107280281963,-0.315114856288953,-0.314993166405016,-0.333880121331701,-0.338892739777062,-0.321272450545425
30.3,-0.336821448607462,-0.315832463641539,-0.315729719606052,-0.334678229171492,-0.339706720703631,-0.322045603947731
30.4,-0.337529668831487,-0.316544622631398,-0.316460998257172,-0.33547050701151,-0.340514641828285,-0.322813334131739
30.5,-0.338231851439392,-0.317251247770301,-0.317186917379615,-0.3362568605903,-0.341316404935464,-0.323575552287736
30.6,-0.338928024984708,-0.317952361777155,-0.317907496778559,-0.337037311477618,-0.342112032174208,-0.324332277352091
30.7,-0.339618160523163,-0.318647934693941,-0.318622705247793,-0.337811824864748,-0.342901487056621,-0.325083475792877
30.8,-0.340302229946347,-0.319337937319376,-0.319332512299045,-0.338580366740246,-0.343684733887334,-0.325829114797775
30.9,-0.340980205991282,-0.320022341217809,-0.32003688817018,-0.339342903897765,-0.344461737771837,-0.326569162282554
31,-0.34165206224992,-0.320701118727925,-0.320735803833383,-0.340099403943898,-0.345232464624577,-0.327303586899627
31.1,-0.342317773178631,-0.321374242971468,-0.321429231003246,-0.340849835305981,-0.345996881177172,-0.328032358046469
31.2,-0.342977314107571,-0.322041687861886,-0.32211714214487,-0.341594167239796,-0.346754954986465,-0.32875544587405
31.3,-0.34363066125001,-0.322703428112863,-0.322799510481854,-0.342332369837295,-0.347506654442581,-0.329472821295178
31.4,-0.344277791711644,-0.323359439246855,-0.323476310004297,-0.343064414034189,-0.348251948776877,-0.330184455992809
31.5,-0.34491868349974,-0.324009697603466,-0.324147515476651,-0.34379027161754,-0.348990808069863,-0.330890322428285
31.6,-0.345553315532302,-0.32465418034784,-0.324813102445639,-0.344509915233283,-0.349723203259058,-0.331590393849542
31.7,-0.346181667647129,-0.325292865478877,-0.325473047248015,-0.345223318393648,-0.350449106146751,-0.332284644299228
31.8,-0.346803720610776,-0.325925731837478,-0.326127327018289,-0.345930455484578,-0.35116848940773,-0.332973048622783
31.9,-0.347419456127469,-0.326552759114595,-0.326775919696414,-0.346631301773011,-0.351881326596924,-0.33365558247643
32,-0.348028856847913,-0.327173927859301,-0.327418804035391,-0.347325833414154,-0.352587592156944,-0.334332222335119
32.1,-0.348631906378041,-0.327789219486689,-0.32805595960876,-0.348014027458622,-0.353287261425609,-0.33500294550039
32.2,-0.349228589287652,-0.328398616285733,-0.328687366818127,-0.348695861859558,-0.353980310643329,-0.335667730108178
32.3,-0.349818891118953,-0.329002101427043,-0.32931300690049,-0.349371315479649,-0.354666716960475,-0.336326555136506
32.4,-0.350402798395028,-0.329599658970513,-0.329932861935585,-0.350040368098036,-0.355346458444577,-0.336979400413161
32.5,-0.350980298628216,-0.330191273872892,-0.330546914853118,-0.350703000417183,-0.35601951408754,-0.337626246623221
32.6,-0.351551380328326,-0.330776931995259,-0.331155149439913,-0.351359194069631,-0.356685863812698,-0.338267075316551
32.7,-0.352116033010848,-0.33135662011036,-0.331757550346982,-0.352008931624663,-0.357345488481795,-0.338901868915197
32.8,-0.352674247204943,-0.331930325909875,-0.332354103096505,-0.352652196594907,-0.357998369901916,-0.339530610720684
32.9,-0.353225982822121,-0.33249800857922,-0.332944765292029,-0.353288941566504,-0.358644457612466,-0.340153255104666
33,-0.35377123235052,-0.33305965753207,-0.333529524048119,-0.353919151761594,-0.359283735110516,-0.340769786946939
33.1,-0.354310021040837,-0.333615292668399,-0.334108396302525,-0.354542845394968,-0.359916220248534,-0.341380222000946
33.2,-0.354842343585081,-0.334164905453089,-0.334681371155852,-0.355160009844034,-0.360541898709651,-0.341984547183243
33.3,-0.355368195727772,-0.334708488304876,-0.335248438613681,-0.355770633461238,-0.361160757155584,-0.342582750325234
33.4,-0.355887574273214,-0.335246034602906,-0.335809589593002,-0.356374705579939,-0.361772783232934,-0.343174820179899
33.5,-0.356400477092758,-0.335777538693225,-0.33636481592855,-0.356972216520367,-0.362377965579387,-0.343760746428377
33.6,-0.356906903131836,-0.336302995895078,-0.336914110379007,-0.357563157595291,-0.362976293829771,-0.344340519686504
33.7,-0.357406852416884,-0.336822402507163,-0.337457466633118,-0.35814752111573,-0.363567758622077,-0.344914131511182
33.8,-0.357900326062167,-0.337335755813709,-0.337994879315705,-0.358725300396421,-0.364152351603259,-0.34548157440669
33.9,-0.358387326276393,-0.337843054090425,-0.33852634399356,-0.359296489761285,-0.36473006543503,-0.346042841830819
34,-0.358867856369222,-0.338344296610334,-0.339051857181227,-0.359861084548663,-0.365300893799458,-0.34659792820093
34.1,-0.359341920757642,-0.338839483649466,-0.339571416346701,-0.360419081116517,-0.365864831404506,-0.34714682889991
34.2,-0.35980952497214,-0.339328616492438,-0.340085019916937,-0.360970476847474,-0.3664218739894,-0.34768954028193
34.3,-0.360270675662774,-0.339811697437844,-0.340592667283316,-0.361515270153728,-0.366972018329898,-0.348226059678173
34.4,-0.360725380605046,-0.340288729803576,-0.34109435880699,-0.36205346048185,-0.367515262243453,-0.348756385402359
34.5,-0.361173648705633,-0.340759717931945,-0.341590095824019,-0.362585048317442,-0.368051604594242,-0.349280516756179
34.6,-0.361615490007956,-0.341224667194686,-0.342079880650496,-0.3631100351897,-0.36858104529803,-0.349798454034613
34.7,-0.362050915697569,-0.341683583997814,-0.342563716587477,-0.363628423675784,-0.369103585326953,-0.35031019853104
34.8,-0.362479938107427,-0.342136475786359,-0.343041607925814,-0.364140217405105,-0.369619226714173,-0.350815752542333
34.9,-0.362902570722883,-0.34258335104889,-0.343513559950827,-0.364645421063473,-0.370127972558345,-0.351315119373696
35,-0.363318828186626,-0.343024219321959,-0.343979578946893,-0.365144040397054,-0.370629827028045,-0.351808303343447
35.1,-0.36372872630335,-0.343459091194358,-0.344439672201871,-0.365636082216304,-0.37112479536596,-0.352295309787621
35.2,-0.364132282044319,-0.343887978311214,-0.34489384801139,-0.36612155439963,-0.371612883893028,-0.352776145064441
35.3,-0.364529513551674,-0.344310893377983,-0.345342115683012,-0.366600465896995,-0.372094100012375,-0.353250816558637
35.4,-0.364920378527993,-0.344727791893082,-0.345784427828068,-0.367072762618316,-0.372568385012163,-0.353719272429993
35.5,-0.365304959500751,-0.345138747270584,-0.346220853739695,-0.367538520015938,-0.373035815877242,-0.354181582585722
35.6,-0.365683278182618,-0.345543775449449,-0.346651405813978,-0.367997750305279,-0.373496403310834,-0.354637757544088
35.7,-0.36605535747281,-0.345942893443324,-0.347076097474329,-0.368450466786324,-0.373950159112963,-0.355087808865839
