"Freq [GHz]","lost_power_fraction [] - gpillar_r='1um'","lost_power_fraction [] - gpillar_r='3um'","lost_power_fraction [] - gpillar_r='5um'","lost_power_fraction [] - gpillar_r='7um'","lost_power_fraction [] - gpillar_r='9um'","lost_power_fraction [] - gpillar_r='10um'"
16.1,0.0381756657941015,0.0350257553824064,0.0347859430432526,0.0353439415976289,0.0345974980104566,0.0338987653482472
16.2,0.0383262941544347,0.0351704872134435,0.0349400377020064,0.0354858934388874,0.034724055150196,0.0340529526208157
16.3,0.0384790941083917,0.0353175486123397,0.035094630419447,0.0356276325628164,0.0348551059612242,0.0342116087044433
16.4,0.0386340032494863,0.0354669385377923,0.0352496509914402,0.0357692912365253,0.0349898207375045,0.0343735111856417
16.5,0.0387909223642143,0.0356186003480544,0.0354050455121888,0.035911001621892,0.0351275439935847,0.0345375843000525
16.6,0.0389497227640178,0.0357724279724628,0.0355607731103669,0.036052891089707,0.0352677612596926,0.0347029527301941
16.7,0.0391102544740137,0.0359282750391907,0.0357168031905129,0.036195078454888,0.0354100689963921,0.0348689488291647
16.8,0.0392723544786899,0.0360859657104743,0.0358731131519147,0.0363376712145726,0.0355541497109314,0.035035092277193
16.9,0.0394358543670256,0.0362453059547998,0.0360296865337187,0.0364807637702154,0.0356997522633359,0.0352010576009837
17,0.039600586915934,0.0364060941638193,0.0361865115265673,0.0366244365399064,0.0358466766258895,0.0353666396123596
17.1,0.0397663913577266,0.0365681303235583,0.0363435797912757,0.0367687558204661,0.0359947622175842,0.0355317221350023
17.2,0.0399331172608303,0.0367312232907625,0.0365008855299486,0.0369137742379533,0.0361438790136905,0.0356962521662441
17.3,0.0401006270940671,0.0368951960372865,0.0366584247616185,0.03705953162491,0.0362939207726361,0.0358602197576059
17.4,0.0402687976371815,0.0370598889666429,0.0368161947618317,0.0372060561765509,0.0364447998648799,0.0360236429996642
17.5,0.0404375204478223,0.0372251615624831,0.0369741936325125,0.037353365760325,0.0365964433102917,0.0361865571807196
17.6,0.0406067016069122,0.0373908927047053,0.0371324199745854,0.0375014692787453,0.0367487897274353,0.0363490071769099
17.7,0.0407762609513127,0.0375569800024484,0.0372908726412123,0.0376503680107164,0.0369017869725841,0.0365110422523538
17.8,0.0409461309751395,0.0377233384650158,0.0374495505539092,0.0378000568793732,0.0370553903023726,0.0366727126078015
