"Freq [GHz]","dB(St(2,1)) []"
20.012,-0.191041634502903
20.11,-0.19164742478622
20.208,-0.192252066990457
20.306,-0.192855550972203
20.404,-0.193457866363299
20.502,-0.194059002578569
20.6,-0.194658948823476
20.698,-0.195257694101722
20.796,-0.195855227222819
20.894,-0.19645153680955
20.992,-0.197046611305437
21.09,-0.197640438982082
21.188,-0.198233007946512
21.286,-0.198824306148425
21.384,-0.199414321387371
21.482,-0.200003041319926
21.58,-0.200590453466727
21.678,-0.201176545219522
21.776,-0.201761303848104
21.874,-0.202344716507215
21.972,-0.202926770243382
22.07,-0.203507452001703
22.168,-0.20408674863254
22.266,-0.204664646898177
22.364,-0.205241133479442
22.462,-0.205816194982211
22.56,-0.206389817943895
22.658,-0.206961988839862
22.756,-0.207532694089786
22.854,-0.20810192006395
22.952,-0.208669653089493
23.05,-0.209235879456573
23.148,-0.209800585424517
23.246,-0.210363757227871
23.344,-0.210925381082413
23.442,-0.211485443191117
23.54,-0.212043929750045
23.638,-0.212600826954181
23.736,-0.213156121003231
23.834,-0.213709798107354
23.932,-0.214261844492836
24.03,-0.214812246407711
24.128,-0.215360990127344
24.226,-0.21590806195994
24.324,-0.216453448252002
24.422,-0.216997135393764
24.52,-0.217539109824539
24.618,-0.218079358038037
24.716,-0.218617866587617
24.814,-0.219154622091503
24.912,-0.219689611237948
25.01,-0.220222820790339
25.108,-0.22075423759226
25.206,-0.221283848572513
25.304,-0.221811640750083
25.402,-0.222337601239049
25.5,-0.222861717253474
25.598,-0.223383976112209
25.696,-0.2239043652437
25.794,-0.224422872190703
25.892,-0.22493948461499
25.99,-0.225454190301975
26.088,-0.225966977165339
26.186,-0.226477833251577
26.284,-0.226986746744512
26.382,-0.227493705969783
26.48,-0.227998699399243
26.578,-0.228501715655387
26.676,-0.229002743515678
26.774,-0.229501771916853
26.872,-0.229998789959198
26.97,-0.230493786910762
27.068,-0.230986752211559
27.166,-0.231477675477698
27.264,-0.231966546505506
27.362,-0.232453355275582
27.46,-0.232938091956839
27.558,-0.233420746910496
27.656,-0.233901310694024
27.754,-0.234379774065076
27.852,-0.234856127985363
27.95,-0.235330363624501
28.048,-0.235802472363812
28.146,-0.236272445800111
28.244,-0.236740275749433
28.342,-0.237205954250737
28.44,-0.237669473569581
28.538,-0.238130826201745
28.636,-0.238590004876828
28.734,-0.239047002561833
28.832,-0.239501812464675
28.93,-0.239954428037687
29.028,-0.240404842981096
29.126,-0.240853051246437
29.224,-0.241299047039956
29.322,-0.24174282482599
29.42,-0.242184379330291
29.518,-0.242623705543331
29.616,-0.243060798723568
29.714,-0.2434956544007
29.812,-0.243928268378863
29.91,-0.244358636739816
30.008,-0.244786755846076
30.106,-0.245212622344048
30.204,-0.245636233167108
30.302,-0.246057585538662
30.4,-0.246476676975165
30.498,-0.246893505289122
30.596,-0.247308068592054
30.694,-0.247720365297457
30.792,-0.248130394123657
30.89,-0.248538154096761
30.988,-0.24894364455345
31.086,-0.249346865143832
31.184,-0.249747815834225
31.282,-0.250146496909922
31.38,-0.250542908977944
31.478,-0.250937052969721
31.576,-0.251328930143793
31.674,-0.251718542088468
31.772,-0.252105890724425
31.87,-0.252490978307335
31.968,-0.252873807430412
32.066,-0.253254381026978
32.164,-0.253632702372953
32.262,-0.25400877508937
32.36,-0.254382603144811
32.458,-0.254754190857857
32.556,-0.255123542899496
32.654,-0.255490664295493
32.752,-0.255855560428755
32.85,-0.256218237041651
32.948,-0.256578700238307
33.046,-0.25693695648691
33.144,-0.257293012621901
33.242,-0.257646875846253
33.34,-0.257998553733625
33.438,-0.258348054230554
33.536,-0.258695385658582
33.634,-0.259040556716376
33.732,-0.259383576481827
33.83,-0.259724454414096
33.928,-0.260063200355664
34.026,-0.260399824534336
34.124,-0.260734337565231
34.222,-0.261066750452731
34.32,-0.261397074592434
34.418,-0.26172532177303
34.516,-0.262051504178209
34.614,-0.262375634388496
34.712,-0.262697725383101
34.81,-0.263017790541689
34.908,-0.263335843646192
35.006,-0.263651898882536
35.104,-0.263965970842365
35.202,-0.26427807452475
35.3,-0.264588225337867
35.398,-0.264896439100612
35.496,-0.265202732044256
35.594,-0.265507120814014
35.692,-0.265809622470628
35.79,-0.266110254491905
35.888,-0.266409034774215
35.986,-0.266705981634009
36.084,-0.26700111380925
36.182,-0.267294450460881
36.28,-0.267586011174212
36.378,-0.267875815960306
36.476,-0.268163885257347
36.574,-0.268450239931954
36.672,-0.268734901280498
36.77,-0.269017891030382
36.868,-0.269299231341272
36.966,-0.26957894480634
